# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-12.118	J0948+004	22.91	1.9	0.126	0.0174 102	37.5	3.3	-132 42	9.8 0	18.1	-0.4 -0.1	-11.5 -64.1	0.417 3.8E-3	0.429 4.7E-3	17.2 0.2
2011-04-12.119	J0948+004	23.07	1.9	0.114	0.0169 102	37.2	3.6	-129 40	9.8 0	19.0	-0.6 0.5	-12.4 -66.0	0.426 3.1E-3	0.423 4.7E-3	17.0 0.1
# Nasmyth offset changed to -47.5, -40.3 but somehow does not seem to be applied...
#2011-04-12.120	J0948+004	23.19	1.9	0.097	0.0174 101	37.5	3.2	-127 39	9.8 0	19.6	54.1 22.0	41.6 -46.3	0.407 3.6E-3	0.425 5.9E-3	17.3 0.1
2011-04-13.1	J0948+004	0.05	1.9	0.100	0.0188 97	37.0	2.8	-116 30	9.8 0	22.8	0.2 1.3	-17.3 -79.4	0.400 3.6E-3	0.418 5.1E-3	17.0 0.2
2011-04-13.2	J1504+105	0.55	1.9	0.137	0.0185 98	37.0	2.6	140 58	15.1 10	-15.8	-2.6 -2.1	-23.3 -30.5	0.730 3.5E-3	0.746 6.2E-3	17.3 0.1
2011-04-13.7	J1504+105	1.49	1.9	0.087	0.0180 102	38.4	3.2	166 63	15.1 10	-5.7	-1.8 -4.0	-12.4 -26.7	0.682 3.0E-3	0.730 5.4E-3	17.6 0.1
2011-04-13.8	J1405+043	1.60	1.9	0.085	0.0172 101	37.6	3.0	-162 56	14.1 4	7.1	-2.6 -2.4	-9.0 -40.5	0.133 3.3E-3	0.127 3.5E-3	16.3 0.4
2011-04-13.12	J1504+105	2.22	1.9	0.096	0.0175 102	37.7	3.6	-170 63	15.1 10	4.0	-3.2 -3.1	-7.4 -29.9	0.686 4.0E-3	0.739 5.7E-3	17.6 0.1
2011-04-13.13	J1405+043	2.28	1.8	0.081	0.0178 101	37.0	3.6	-146 52	14.1 4	13.4	-2.8 -3.3	-8.8 -50.9	0.133 3.3E-3	0.122 3.5E-3	16.3 0.4
2011-04-13.14	IRAS16293	2.35	1.9	0.088	0.0197 101	37.8	3.3	164 27	16.5 -24	-7.0	2.5 -4.2	-23.7 -66.3	1.68 6.5E-3	2.31 9.7E-3	19.7 0.1
