# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
#2013-04-10.79	Mercury	test	8.14	2.0	0.686	0.0274 65	37.7	2.3	-2.00	130 35	23.7 -4	-37.4	-16.9 9.9	-1.1 -65.9	105 0.081	137 0.31	21.0 0.0
2013-04-10.79	Mercury	test	8.14	2.0	0.686	0.0274 65	37.7	2.3	-2.00	130 35	23.7 -4	-37.4	-16.9 9.9	-1.1 -65.9	105 0.081	137 0.31	21.0 0.0
2013-04-10.80	Mercury	test	8.84	2.0	0.634	0.0227 90	37.5	2.7	-2.00	141 41	23.7 -4	-29.7	69.3 -39.4	0.6 -61.3	122 0.11	155 0.10	19.9 0.0
#2013-04-10.81	Mercury	test	8.92	2.0	0.634	0.0268 75	37.3	2.7	-2.00	143 42	23.7 -4	-28.8	69.1 -39.2	0.5 -61.0	124 0.15	159 0.43	20.7 0.0
2013-04-10.81	Mercury	test	8.92	2.0	0.634	0.0268 75	37.3	2.7	-2.00	143 42	23.7 -4	-28.8	69.1 -39.2	0.5 -61.0	124 0.15	159 0.43	20.7 0.0
2013-04-10.82	Mercury	test	9.07	2.0	0.571	0.0216 93	37.1	2.8	-2.00	145 43	23.7 -4	-26.8	-1.1 -41.0	0.6 -62.5	118 0.097	157 0.085	20.1 0.0
2013-04-10.83	Mercury	test	9.15	2.1	0.652	0.0235 95	37.2	2.9	-2.00	147 43	23.7 -4	-25.7	-2.1 -2.6	-0.2 -62.9	118 0.071	151 0.074	20.5 0.0
# Wed Apr 10 09:14:49 UTC 2013 - At scan 81 we switch to CRUSH 2.12 for quicklook - SFM
2013-04-10.84	Mercury	test	9.38	1.0	0.741	0.0282 97	35.9	2.8	-1.50	151 45	23.7 -4	-22.5	-2.4 -1.8	0.2 -61.8	127 0.090	173 0.41	21.2 0.0
2013-04-10.85	Mercury	test	9.45	1.0	0.330	0.0284 97	36.0	2.8	-1.00	153 45	23.7 -4	-21.5	-1.2 -1.4	1.6 -61.3	82.1 0.066	132 0.065	23.0 0.0
2013-04-10.86	Mercury	test	9.47	1.0	0.330	0.0272 97	37.6	2.7	-2.50	153 45	23.7 -4	-21.1	-2.1 -2.3	0.8 -62.2	101 0.079	136 0.72	21.0 0.0
2013-04-10.87	Mercury	test	9.56	0.8	0.618	0.0268 97	38.2	2.8	-3.00	155 46	23.7 -4	-19.8	-1.9 -2.4	1.4 -62.2	100 0.10	163 0.60	23.2 0.0
2013-04-10.90	0113-118	test	10.44	2.0	0.738	0.0173 68	37.4	3.1	-2.00	147 35	1.3 -12	-26.3	-1.8 -5.8	2.4 -68.1	0.240 4.1E-3	0.249 5.7E-3	18.3 0.3
2013-04-10.92	0113-118	test	10.98	1.8	0.601	0.0118 86	38.2	3.4	-2.00	156 38	1.3 -12	-19.1	1.2 -2.2	4.6 -67.4	0.213 2.7E-3	0.229 4.7E-3	18.8 0.2
2013-04-10.97	NGC7027	test	12.08	1.8	0.589	0.0122 96	38.2	3.6	-2.00	-64 45	21.1 42	75.6	-0.8 -1.5	4.2 -104.1	2.28 3.8E-3	3.23 8.3E-3	21.5 0.0
2013-04-10.98	Uranus	test	12.22	2.0	0.593	0.0116 98	37.9	3.9	-2.00	-162 55	0.6 3	14.4	0.6 -0.9	9.4 -67.3	8.18 0.013	12.3 0.015	22.4 0.0
2013-04-10.99	Uranus	test	12.30	2.0	0.585	0.0119 98	37.5	3.9	-2.00	-160 54	0.6 3	15.9	1.2 -0.9	10.5 -68.1	7.87 0.015	12.3 0.018	22.7 0.0
2013-04-10.102	Jupiter	test	15.68	2.1	0.585	0.2048 59	37.3	7.4	-2.00	175 75	4.8 22	-3.2	0.3 12.1	-3.0 -31.2	351 1.3	2055 59	39.6 0.1
2013-04-10.103	Jupiter	test	15.75	2.1	0.237	0.1767 67	37.1	7.3	-2.00	179 75	4.8 22	-0.2	11.3 5.4	9.8 -38.6	462 1.0	1726 18	33.5 0.1
2013-04-10.105	0420-014	test	15.98	2.1	0.561	0.0140 99	37.2	7.6	-2.00	-165 51	4.4 -1	12.1	-3.8 -18.0	15.3 -66.0	2.11 4.6E-3	2.64 7.8E-3	19.5 0.0
2013-04-10.106	0420-014	test	16.09	2.1	0.577	0.0131 98	37.4	8.7	-2.00	-162 50	4.4 -1	14.2	-0.6 -1.6	15.1 -68.6	2.17 3.3E-3	2.60 7.4E-3	19.7 0.0
2013-04-10.107	0420-014	test	16.16	1.0	0.577	0.0115 97	37.8	8.6	-2.00	-161 50	4.4 -1	15.2	-1.1 -1.4	14.8 -69.0	2.15 4.8E-3	2.56 8.1E-3	19.7 0.0
2013-04-10.108	0420-014	test	16.18	1.0	0.585	0.0110 97	37.0	8.6	-2.60	-161 50	4.4 -1	15.5	-1.3 -1.9	14.8 -69.7	1.83 4.6E-3	2.55 1.0E-2	21.1 0.0
2013-04-10.109	0420-014	test	16.20	1.0	0.585	0.0114 98	36.5	8.6	-3.20	-160 50	4.4 -1	15.9	-1.2 -2.3	14.9 -70.3	1.33 4.4E-3	2.47 0.010	24.5 0.1
2013-04-10.110	0420-014	test	16.22	1.0	0.585	0.0114 98	36.7	8.9	-1.40	-160 50	4.4 -1	16.3	-1.4 -0.9	14.7 -69.0	2.09 4.0E-3	2.58 7.9E-3	19.8 0.0
2013-04-10.111	0420-014	test	16.25	1.0	0.621	0.0115 97	36.6	8.9	-0.80	-159 50	4.4 -1	16.7	-1.4 0.4	14.8 -67.9	1.75 4.4E-3	2.54 0.011	21.6 0.0
2013-04-10.115	0804+499	209-12	17.08	2.1	0.597	0.0158 97	37.2	8.9	-1.77	50 65	8.1 50	-109.0	-0.3 2.7	-22.7 -67.3	0.277 3.5E-3	0.284 4.7E-3	18.1 0.2
2013-04-10.116	4C+55.16	209-12	17.32	5.0	0.633	0.0167 97	37.8	7.7	-1.77	40 61	8.6 56	-116.0	3.6 -1.1	-20.0 -76.0	0.0574 3.4E-3	0.0576 3.2E-3	24.1 1.3
# Wed Apr 10 18:03:38 UTC 2013 - Switching between crush 2.12 and 2.13 - SFM
2013-04-10.120	Jupiter	test	18.05	2.0	0.601	0.1568 67	37.7	5.2	-1.77	-107 57	4.8 22	55.4	-3.0 -2.3	9.8 -82.7	402 1.4	1609 3.6	34.5 0.1
# Wed Apr 10 18:15:45 UTC 2013 - Now using crush 2.13 - SFM
2013-04-10.120	Jupiter	test	18.05	2.0	0.601	0.1568 67	37.7	5.2	-1.77	-107 57	4.8 22	55.4	-3.0 -2.3	9.8 -82.7	402 1.4	1609 3.6	34.5 0.1
2013-04-10.123	Jupiter	test	18.32	1.0	0.598	0.1884 61	36.0	4.0	-2.40	-103 54	4.8 22	56.9	-1.6 -3.6	11.1 -87.3	478 1.2	1654 6.6	33.4 0.1
2013-04-10.124	Jupiter	test	18.35	0.8	0.598	0.2961 55	38.0	4.0	-3.00	-103 53	4.8 22	57.0	-5.3 -2.3	7.5 -86.3	405 1.2	1800 37	38.4 0.1
2013-04-10.126	Jupiter	test	18.39	1.0	0.614	0.2080 66	36.6	4.0	-0.60	-103 53	4.8 22	57.2	-2.6 -3.3	10.0 -87.8	461 0.83	1701 18	34.6 0.0
# Wed Apr 10 18:42:01 UTC 2013 - Added tau.225ghz command line - testing with CRUSH - SFM
# Wed Apr 10 18:47:55 UTC 2013 - Removed tau.225ghz option - SFM
2013-04-10.127	Jupiter	test	19.09	1.0	0.635	0.3529 48	36.0	2.8	-1.80	-95 45	4.8 22	59.1	-35.9 -1.0	-26.3 -93.1	75.0 1.9	187 7.3	26.8 0.6
2013-04-10.128	Jupiter	test	19.11	1.0	0.635	0.1524 85	36.2	2.8	-2.40	-95 44	4.8 22	59.1	-4.7 -6.4	8.6 -97.6	240 1.0	1307 12	40.9 0.1
2013-04-10.129	Jupiter	test	19.13	1.0	0.635	0.1675 91	36.4	2.8	-3.00	-94 44	4.8 22	59.1	-2.6 -6.8	10.3 -98.2	373 1.2	1540 4.0	36.7 0.1
2013-04-10.130	Jupiter	test	19.15	1.0	0.627	0.1665 65	36.0	2.8	-1.20	-94 44	4.8 22	59.2	-9.8 -7.1	3.0 -98.7	232 0.74	1186 4.1	40.0 0.1
2013-04-10.131	Jupiter	test	19.17	0.8	0.627	0.1589 82	38.2	2.8	-0.60	-94 44	4.8 22	59.2	-4.3 -5.4	8.6 -97.1	388 0.97	1548 14	35.4 0.1
2013-04-10.135	Saturn	test	22.95	1.8	0.698	0.0512 48	38.2	2.5	-2.00	137 29	14.5 -12	-33.9	-3.2 -9.5	0.6 -71.2	204 0.26	360 1.4	24.3 0.0
2013-04-10.136	Saturn	test	23.21	1.8	0.686	0.0583 55	38.1	2.5	-2.00	140 31	14.5 -12	-31.2	0.8 -0.3	1.6 -70.9	192 0.30	339 1.5	24.0 0.0
2013-04-10.137	Saturn	test	23.29	2.1	0.674	0.0610 55	37.2	2.4	-1.00	142 32	14.5 -12	-30.3	1.3 1.0	2.2 -69.5	199 0.29	360 0.89	24.7 0.0
2013-04-10.138	Saturn	test	23.34	1.8	0.665	0.0546 58	38.2	2.5	-1.50	142 32	14.5 -12	-29.8	0.2 0.0	1.2 -70.5	182 0.24	322 0.44	24.0 0.0
2013-04-10.139	Saturn	test	23.38	2.0	0.665	0.0604 59	38.0	2.5	-2.50	143 33	14.5 -12	-29.3	0.6 -0.1	1.7 -70.6	176 0.31	348 1.0	25.3 0.0
2013-04-10.140	Saturn	test	23.44	2.0	0.670	0.0589 60	37.5	2.5	-3.00	144 33	14.5 -12	-28.6	-0.0 0.1	1.1 -70.4	179 0.25	401 1.1	27.3 0.0
2013-04-10.141	Saturn	test	23.77	2.0	0.688	0.0585 64	37.4	2.5	-1.67	149 35	14.5 -12	-24.7	-0.8 0.7	0.8 -69.7	233 0.23	388 1.8	23.7 0.0
2013-04-11.1	Saturn	test	0.25	17.2	0.671	0.0490 74	32.4	2.4	-1.67	157 38	14.5 -12	-16.2	-0.6 2.5	2.1 -67.9	240 0.087	453 0.10	24.4 0.0
2013-04-11.2	Saturn	test	0.56	17.4	0.667	0.0482 76	32.4	2.5	-1.67	163 39	14.5 -12	-11.7	-0.6 2.6	3.1 -68.2	227 0.098	429 0.12	24.3 0.0
2013-04-11.3	1226+023	test	1.11	2.1	0.643	0.0152 96	37.5	2.5	-1.67	-141 48	12.5 2	30.7	1.3 5.1	12.8 -77.4	3.84 3.9E-3	4.20 7.6E-3	19.2 0.0
2013-04-11.4	1334-127	test	1.46	2.0	0.619	0.0133 82	37.2	2.4	-1.67	-163 38	13.6 -13	13.9	-1.4 4.7	8.6 -73.6	2.86 3.4E-3	3.01 6.7E-3	18.7 0.0
