# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
#.2014-10-20.4	Saturn	none	15.05	1.5	0.437	0.1067 68	4.6	10.7	0.00 0.00 -2.00	-156 33	15.4 -16	19.8	25.0 -20.4	34.7 -106.3	9.14 0.39	43.9 5.2	23.5 0.9	-11.3 2.4
2014-10-20.6	Saturn	t16	15.18	1.6	0.424	0.1395 76	4.5	10.6	0.00 0.00 -2.00	-154 32	15.4 -16	21.5	-8.8 0.1	23.6 -89.1	105 2.1	80.1 1.4	11.7 0.2	-10.8 4.3
2014-10-20.9	Mars	test	15.79	2.0	0.384	0.0170 91	26.4	10.4	0.00 0.00 -1.80	177 28	17.7 -25	-2.4	-1.3 0.9	24.3 -83.6	33.9 0.051	54.0 0.052	20.3 0.0	0.5 1.9
2014-10-20.10	Mars	test	15.82	2.0	0.382	0.0166 91	26.5	10.4	0.00 0.00 -1.80	178 28	17.7 -25	-1.9	0.4 -0.0	26.1 -84.6	34.1 0.046	54.0 0.049	20.4 0.0	0.3 2.5
2014-10-20.11	Mars	gismos-14	15.88	2.0	0.371	0.0164 91	26.4	10.4	0.00 0.00 -1.80	178 28	17.7 -25	-1.1	-0.6 -1.3	25.4 -86.0	32.2 0.047	51.9 0.053	20.5 0.0	0.1 1.9
2014-10-20.12	Mars	gismos-14	16.65	2.0	0.412	0.0162 81	26.5	9.5	0.00 0.00 -1.80	-170 27	17.7 -25	9.2	-0.5 -1.4	28.2 -88.5	32.1 0.053	52.0 0.076	20.4 0.0	0.9 1.6
2014-10-20.13	Mars	gismos-14	16.74	1.1	0.412	0.0162 79	25.9	9.5	0.00 0.00 -2.00	-168 27	17.7 -25	10.3	0.3 -2.1	29.1 -89.4	26.3 0.058	48.5 0.12	20.8 0.0	3.4 4.1
2014-10-20.14	Mars	gismos-14	16.76	1.0	0.405	0.0164 79	25.6	9.5	0.00 0.00 -2.60	-168 27	17.7 -25	10.6	2.9 0.3	31.8 -87.1	23.8 0.066	49.0 0.13	22.3 0.1	4.9 4.1
2014-10-20.15	Mars	gismos-14	16.78	1.0	0.405	0.0175 78	25.9	9.4	0.00 0.00 -1.40	-168 27	17.7 -25	10.9	-3.3 -2.7	25.6 -90.1	31.4 0.087	50.2 0.17	19.9 0.1	2.1 0.4
2014-10-20.16	Mars	gismos-14	16.81	1.0	0.404	0.0164 78	25.7	9.4	0.00 0.00 -3.20	-167 27	17.7 -25	11.2	5.9 0.7	35.5 -86.7	18.7 0.067	50.3 0.33	24.9 0.1	12.4 0.6
2014-10-20.17	Mars	gismos-14	16.83	1.0	0.404	0.0181 75	25.8	9.4	0.00 0.00 -0.80	-167 27	17.7 -25	11.5	-1.2 -2.2	27.8 -89.7	23.1 0.14	49.9 0.14	21.0 0.1	6.2 9.1
2014-10-20.18	Mars	gismos-14	17.07	2.0	0.404	0.0155 81	26.2	9.2	0.00 0.00 -1.80	-163 26	17.7 -25	14.7	-1.3 0.2	28.2 -88.1	31.9 0.050	50.9 0.073	20.5 0.0	0.9 0.3
