# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2015-02-23.140	Uranus	t16	12.26	2.0	0.000	0.0201 102	25.7	0.2	0.00 0.00 -2.00	122 42	0.9 5	-42.8	-17.7 15.8	-6.5 -59.4	10.8 0.020	14.4 0.024	21.0 0.0	-6.8 -5.9
2015-02-24.51	Uranus	test	16.87	2.0	0.230	0.0220 95	25.3	-6.4	0.00 0.00 -2.00	-131 47	0.9 5	37.1	-14.2 13.4	15.7 -77.6	13.8 0.029	17.0 0.036	20.3 0.0	-3.9 -1.9
2015-02-24.52	Uranus	test	16.94	2.0	0.221	0.0199 95	25.7	-6.4	0.00 0.00 -2.00	-130 47	0.9 5	37.9	2.1 0.3	17.9 -78.0	13.6 0.020	16.9 0.027	19.9 0.0	-2.0 0.6
2015-02-24.53	Uranus	test	17.00	1.1	0.271	0.0173 95	25.4	-6.5	0.00 0.00 -2.00	-129 46	0.9 5	38.5	-1.6 -1.0	16.3 -79.7	14.0 0.024	16.6 0.020	19.6 0.0	-3.3 0.6
2015-02-24.54	Uranus	test	17.02	1.0	0.271	0.0204 95	25.0	-6.6	0.00 0.00 -2.60	-129 46	0.9 5	38.7	-0.0 -0.6	17.9 -79.4	10.9 0.025	16.6 0.035	21.9 0.0	-3.6 0.4
2015-02-24.55	Uranus	test	17.04	1.1	0.271	0.0186 95	25.3	-6.6	0.00 0.00 -1.40	-129 46	0.9 5	38.9	-0.2 -0.6	17.8 -79.7	14.4 0.019	17.5 0.035	19.7 0.0	-2.2 1.1
2015-02-24.56	Uranus	test	17.06	1.1	0.251	0.0191 95	25.3	-6.6	0.00 0.00 -3.20	-128 46	0.9 5	39.2	4.0 -0.5	22.0 -79.8	6.83 0.034	16.1 0.038	27.0 0.1	-3.2 1.5
2015-02-24.57	Uranus	test	17.09	1.1	0.251	0.0183 95	25.5	-6.6	0.00 0.00 -0.80	-128 46	0.9 5	39.4	-0.5 -1.4	17.5 -80.9	13.1 0.022	17.3 0.094	20.4 0.0	-1.3 1.4
2015-02-24.58	Uranus	test	17.21	1.1	0.230	0.0178 95	25.3	-6.6	0.00 0.00 -1.50	-126 44	0.9 5	40.6	-0.3 -3.1	17.8 -83.8	14.2 0.027	16.3 0.020	19.3 0.0	-1.2 -0.4
2015-02-24.59	Uranus	test	17.23	1.0	0.230	0.0195 95	25.3	-6.6	-2.00 0.00 -1.50	-125 44	0.9 5	40.8	-1.7 0.2	16.4 -80.7	13.1 0.020	16.8 0.22	19.7 0.0	-2.1 4.4
2015-02-24.60	Uranus	test	17.25	1.1	0.284	0.0175 95	25.3	-6.7	2.00 0.00 -1.50	-125 44	0.9 5	41.0	1.0 -4.5	19.0 -85.7	12.9 0.020	16.6 0.24	20.2 0.0	-1.5 -3.0
2015-02-24.61	Uranus	test	17.28	1.1	0.284	0.0174 95	25.6	-6.8	-4.00 0.00 -1.50	-125 44	0.9 5	41.3	-1.9 2.8	16.2 -78.6	11.5 0.021	16.8 0.12	21.7 0.0	-1.9 6.3
