# Time[CET]   Date          Tau         TauERR
  00:03:17    2014-10-20    0.3343      0.0156
  00:07:31    2014-10-20    0.3360      0.0105
  00:11:46    2014-10-20    0.3077      0.0159
  00:16:01    2014-10-20    0.3165      0.0219
  00:20:16    2014-10-20    0.3153      0.0227
  00:24:31    2014-10-20    0.3390      0.0063
  00:28:46    2014-10-20    0.3117      0.0206
  00:33:01    2014-10-20    0.3546      0.0113
  00:37:15    2014-10-20    0.3056      0.0157
  00:41:30    2014-10-20    0.3184      0.0174
  00:45:45    2014-10-20    0.3467      0.0128
  00:50:00    2014-10-20    0.3140      0.0141
  00:54:15    2014-10-20    0.3224      0.0120
  00:58:30    2014-10-20    0.3400      0.0149
  01:02:45    2014-10-20    0.3415      0.0217
  01:07:00    2014-10-20    0.3294      0.0179
  01:11:15    2014-10-20    0.3407      0.0219
  01:15:30    2014-10-20    0.3138      0.0189
  01:19:45    2014-10-20    0.3393      0.0168
  01:24:00    2014-10-20    0.3222      0.0250
  01:28:14    2014-10-20    0.3383      0.0210
  01:32:29    2014-10-20    0.3330      0.0235
  01:36:44    2014-10-20    0.3151      0.0261
  01:40:59    2014-10-20    0.3241      0.0242
  01:45:14    2014-10-20    0.3259      0.0270
  01:49:29    2014-10-20    0.3333      0.0224
  01:53:44    2014-10-20    0.2719      0.0306
  01:57:59    2014-10-20    0.2577      0.0241
  02:02:14    2014-10-20    0.2419      0.0248
  02:06:29    2014-10-20    0.2612      0.0205
  02:10:44    2014-10-20    0.2053      0.0278
  02:14:59    2014-10-20    0.2048      0.0297
  02:19:14    2014-10-20    0.2280      0.0287
  02:23:29    2014-10-20    0.2064      0.0216
  02:27:44    2014-10-20    0.2088      0.0298
  02:31:59    2014-10-20    0.1918      0.0366
  02:36:14    2014-10-20    0.2121      0.0277
  02:40:29    2014-10-20    0.1703      0.0296
  02:44:44    2014-10-20    0.1820      0.0235
  02:48:59    2014-10-20    0.1561      0.0200
  02:53:14    2014-10-20    0.1749      0.0178
  02:57:29    2014-10-20    0.1134      0.0156
  03:01:44    2014-10-20    0.1583      0.0158
  03:05:59    2014-10-20    0.1652      0.0148
  03:10:14    2014-10-20    0.1271      0.0262
  03:14:29    2014-10-20    0.1455      0.0230
  03:18:44    2014-10-20    0.1716      0.0140
  03:22:58    2014-10-20    0.1405      0.0150
  03:27:13    2014-10-20    0.1748      0.0182
