# BE	mux	pin
#
1	0	30
2	0	28
3	0	26
4	0	24
5	3	30
6	3	28
7	3	26
8	3	24
9	0	22
10	0	20
11	0	18
12	0	16
13	3	22
14	3	20
15	3	18
16	3	16
17	0	14
18	0	12
19	0	10
20	0	8
21	3	14
22	3	12
23	3	10
24	3	8
25	0	6
26	0	4
27	0	2
28	0	0
29	3	6
30	3	4
31	3	2
32	3	0
33	0	1
34	0	3
35	0	5
36	0	7
37	3	1
38	3	3
39	3	5
40	3	7
41	0	9
42	0	11
43	0	13
44	0	15
45	3	9
46	3	11
47	3	13
48	3	15
49	0	17
50	0	19
51	0	21
52	0	23
53	3	17
54	3	19
55	3	21
56	3	23
57	0	25
58	0	27
59	0	29
60	0	31
61	3	25
62	3	27
63	3	29
64	3	31
65	1	31
66	1	29
67	1	27
68	1	25
69	2	31
70	2	29
71	2	27
72	2	25
73	1	23
74	1	21
75	1	19
76	1	17
77	2	23
78	2	21
79	2	19
80	2	17
81	1	15
82	1	13
83	1	11
84	1	9
85	2	15
86	2	13
87	2	11
88	2	9
89	1	7
90	1	5
91	1	3
92	1	1
93	2	7
94	2	5
95	2	3
96	2	1
97	1	0
98	1	2
99	1	4
100	1	6
101	2	0
102	2	2
103	2	4
104	2	6
105	1	8
106	1	10
107	1	12
108	1	14
109	2	8
110	2	10
111	2	12
112	2	14
113	1	16
114	1	18
115	1	20
116	1	22
117	2	16
118	2	18
119	2	20
120	2	22
121	1	24
122	1	26
123	1	28
124	1	30
125	2	24
126	2	26
127	2	28
128	2	30
