# Efficiency factors for sampling the intrinsic PSF through a column 
# of 1.18 mm pixels (corresponding to the low res array)
# This is applicable to simulated data sets.
# Real data efficiencies will depend on slit size.
#     Wave[um]     Eff.
      25.0010     0.914632
      25.0917     0.914225
      25.1823     0.913870
      25.2729     0.913461
      25.3635     0.913078
      25.4540     0.912584
      25.5444     0.912255
      25.6348     0.911884
      25.7252     0.911473
      25.8154     0.911213
      25.9057     0.910721
      25.9959     0.910317
      26.0860     0.909895
      26.1761     0.909521
      26.2661     0.909081
      26.3561     0.908727
      26.4460     0.908324
      26.5359     0.907956
      26.6257     0.907489
      26.7155     0.907178
      26.8052     0.906787
      26.8949     0.906324
      26.9845     0.905892
      27.0740     0.905510
      27.1635     0.905056
      27.2530     0.904617
      27.3424     0.904261
      27.4317     0.903951
      27.5210     0.903547
      27.6103     0.903191
      27.6995     0.902774
      27.7886     0.902295
      27.9096     0.901707
      27.9986     0.901414
      28.0876     0.900840
      28.1765     0.900501
      28.2653     0.900211
      28.3541     0.899702
      28.4429     0.899442
      28.5316     0.898982
      28.6202     0.898579
      28.7088     0.898264
      28.7973     0.897753
      28.8858     0.897398
      28.9742     0.897066
      29.0626     0.896613
      29.1509     0.896256
      29.2391     0.895746
      29.3273     0.895487
      29.4155     0.895076
      29.5036     0.894681
      29.5916     0.894435
      29.6796     0.893865
      29.7675     0.893724
      29.8554     0.893265
      29.9432     0.892835
      30.0310     0.892431
      30.1187     0.892092
      30.2063     0.891780
      30.2939     0.891358
      30.3814     0.890953
      30.4689     0.890638
      30.5563     0.890366
      30.6437     0.889800
      31.1695     0.887736
      31.2573     0.887435
      31.3449     0.886981
      31.4326     0.886824
      31.5201     0.886339
      31.6076     0.886115
      31.6950     0.885701
      31.7823     0.885379
      31.8696     0.884947
      31.9568     0.884820
      32.0440     0.884532
      32.1311     0.884188
      32.2181     0.883803
      32.3050     0.883469
      32.3919     0.883171
      32.4787     0.882867
      32.5654     0.882446
      32.6521     0.882194
      32.7387     0.881753
      32.8253     0.881512
      32.9118     0.881180
      32.9982     0.880813
      33.0845     0.880722
      33.1708     0.880291
      33.2570     0.880217
      33.3431     0.879884
      33.4292     0.879638
      33.5152     0.879150
      33.6011     0.878940
      33.6870     0.878620
      33.7728     0.878332
      33.8585     0.877991
      33.9748     0.877623
      34.0604     0.877316
      34.1459     0.876952
      34.2313     0.876770
      34.3167     0.876568
      34.4020     0.876315
      34.4872     0.876090
      34.5723     0.875715
      34.6574     0.875626
      34.7424     0.875356
      34.8274     0.875075
      34.9122     0.874755
      34.9970     0.874371
      35.0818     0.874451
      35.1664     0.874022
      35.2510     0.873739
      35.3355     0.873586
      35.4200     0.873116
      35.5044     0.873021
      35.5887     0.872808
      35.6729     0.872351
      35.7571     0.872365
      35.8412     0.871982
      35.9252     0.871664
      36.0091     0.871556
      36.0930     0.871199
      36.1768     0.871051
      36.2605     0.870813
      36.3442     0.870671
      36.4278     0.870582
      36.5113     0.870347
      36.5947     0.870000
      37.2213     0.868198
      37.3056     0.868004
      37.3899     0.867890
      37.4740     0.867577
      37.5581     0.867254
      37.6421     0.867198
      37.7260     0.866928
      37.8098     0.866711
      37.8935     0.866547
      37.9772     0.866449
      38.0608     0.866275
      38.1442     0.866193
      38.2277     0.865851
      38.3110     0.865641
      38.3942     0.865500
      38.4774     0.865173
      38.5605     0.864883
      38.6435     0.864736
      38.7264     0.864323
      38.8093     0.864362
      38.8920     0.864401
      38.9747     0.864099
      39.0573     0.863768
      39.1398     0.863525
      39.2222     0.863392
      39.3046     0.863044
      39.3868     0.862736
      39.4690     0.862618
      39.5511     0.862610
      39.6331     0.862351
      39.7150     0.862233
      39.7969     0.862133
      39.9079     0.861665
      39.9895     0.861878
      40.0711     0.861537
      40.1526     0.861310
      40.2340     0.861027
      40.3153     0.861023
      40.3965     0.860744
      40.4776     0.860452
      40.5587     0.860427
      40.6396     0.860286
      40.7205     0.859984
      40.8013     0.859735
      40.8820     0.859664
      40.9627     0.859257
      41.0432     0.858959
      41.1236     0.858791
      41.2040     0.858881
      41.2843     0.858498
      41.3645     0.858110
      41.4446     0.858253
      41.5246     0.857891
      41.6045     0.857828
      41.6844     0.857726
      41.7641     0.857634
      41.8438     0.857309
      41.9234     0.857287
      42.0029     0.856978
      42.0823     0.857106
      42.1616     0.856973
      42.2408     0.856614
      42.3200     0.856265
      42.3990     0.856422
      42.4010     0.856422
      42.5548     0.855881
      42.7085     0.855569
      42.8622     0.855050
      43.0157     0.854777
      43.1692     0.854178
      43.3226     0.853722
      43.4759     0.853487
      43.6291     0.853316
      43.7822     0.852883
      43.9352     0.852381
      44.0882     0.852051
      44.2410     0.851571
      44.3938     0.851746
      44.5465     0.851255
      44.6991     0.851021
      44.8516     0.850414
      45.0040     0.849992
      45.1563     0.849853
      45.3086     0.849410
      45.4607     0.849073
      45.6128     0.848377
      45.7648     0.848070
      45.9167     0.847803
      46.0684     0.847355
      46.2202     0.846889
      46.3718     0.846466
      46.5233     0.846103
      46.6747     0.845550
      46.8261     0.845439
      46.9773     0.845384
      47.1285     0.845218
      47.3337     0.844654
      47.4847     0.843977
      47.6355     0.843226
      47.7863     0.843089
