# He3 TemperatureGains Data.
# Measured by MiniCrush ver 18-July-2007
# 
# BEch	Gain
1	1.695967E-2
2	1.875522E-2
3	1.731672E-2
4	3.440550E-2
5	2.300869E-2
6	1.315257E-2
7	2.300937E-2
8	1.429084E-2
9	2.086503E-2
10	1.731696E-2
11	2.759090E-2
12	3.275989E-2
13	1.829704E-2
14	2.947584E-2
15	5.383306E-4
16	7.543122E-4
17	1.384221E-2
18	2.195317E-2
19	2.110098E-2
20	2.771132E-2
21	1.615862E-2
22	1.549932E-2
23	1.883039E-2
24	2.289324E-2
25	1.591986E-2
26	1.385216E-2
27	1.326187E-2
28	2.840521E-2
29	6.454185E-4
30	2.004044E-2
31	2.200889E-2
32	1.551771E-2
33	4.620342E-4
34	1.506409E-2
35	6.814353E-4
36	1.918617E-2
37	2.593965E-2
38	2.288640E-2
39	1.630360E-2
40	4.805327E-4
41	2.540112E-2
42	2.006319E-2
43	1.875384E-2
44	1.610906E-2
45	2.184617E-2
46	1.896132E-2
47	2.083516E-2
48	2.095209E-2
49	1.990460E-2
50	1.985135E-2
51	1.480204E-2
52	1.882994E-2
53	2.307022E-2
54	2.194630E-2
55	1.823827E-2
56	1.726171E-2
57	1.544562E-2
58	1.504189E-2
59	3.234078E-2
60	1.710123E-2
61	3.099153E-2
62	1.806091E-2
63	1.572218E-2
64	3.259785E-5
65	3.146332E-2
66	1.376179E-5
67	2.507673E-2
68	1.499314E-2
69	1.709761E-2
70	2.452959E-2
71	1.671114E-2
72	2.897929E-2
73	1.818405E-2
74	1.652518E-2
75	1.839313E-2
76	2.012408E-2
77	2.432880E-2
78	1.554608E-2
79	2.212947E-2
80	1.755478E-2
81	2.784514E-2
82	2.599251E-2
83	2.752931E-2
84	3.388465E-2
85	-3.309361E-2
86	-1.164305E-1
87	5.021309E-4
88	6.100701E-5
89	2.442071E-2
90	2.607260E-2
91	2.498510E-2
92	2.681986E-2
93	2.672185E-2
94	3.210000E-2
95	-9.664864E-4
96	2.797324E-2
97	2.471417E-2
98	1.532636E-2
99	3.529793E-2
100	2.059489E-2
101	1.624918E-2
102	2.793103E-2
103	2.380329E-2
104	1.719048E-2
105	3.228621E-2
106	1.645723E-2
107	1.899733E-2
108	1.442545E-2
109	1.972965E-2
110	2.401617E-2
111	2.028367E-2
112	2.315298E-2
113	2.953281E-2
114	2.702008E-2
115	2.963126E-2
116	2.923846E-2
117	2.945991E-2
118	2.714431E-2
119	2.401266E-2
120	3.514913E-2
121	2.435003E-2
122	2.484865E-2
123	2.811807E-2
124	2.618319E-4
125	2.528727E-2
126	1.948841E-2
127	1.289360E-2
128	2.222070E-2
129	2.653644E-2
130	1.826406E-2
131	2.231437E-2
132	1.774774E-2
133	2.947042E-2
134	2.893193E-2
135	9.493536E-5
136	2.244905E-2
137	2.428470E-2
138	2.162786E-2
139	1.279092E-3
140	2.578102E-2
141	2.302014E-2
142	9.405373E-5
143	1.249536E-3
144	2.890945E-6
145	1.400747E-4
146	3.777263E-6
147	2.878322E-2
148	2.464452E-2
149	7.956867E-4
150	7.222144E-6
151	6.051027E-4
152	2.840968E-2
153	2.145991E-2
154	2.626643E-2
155	2.317153E-2
156	3.132139E-2
157	-1.043509E-4
158	9.287598E-5
159	-6.616303E-3
160	3.658046E-2
161	1.783224E-2
162	2.408738E-2
163	3.437711E-2
164	2.961341E-2
165	2.638999E-2
166	1.764142E-2
167	2.411960E-2
168	2.309320E-2
169	3.259355E-2
170	2.927672E-2
171	3.237625E-2
172	3.426047E-2
173	1.406630E-2
174	2.873630E-2
175	3.065826E-2
176	2.133169E-2
177	3.139812E-2
178	4.572814E-4
179	-2.334914E-1
180	3.496556E-2
181	1.198118E-4
182	2.043987E-2
183	2.483823E-5
184	2.346375E-2
185	3.154503E-2
186	7.059429E-5
187	2.009088E-4
188	6.910454E-5
189	4.115558E-4
190	2.913570E-4
191	3.213381E-2
192	2.676566E-2
193	3.871657E-4
194	2.815052E-2
195	3.783052E-4
196	2.946220E-2
197	3.177333E-2
198	2.290363E-2
199	3.086050E-2
200	1.104971E-3
201	3.354504E-5
202	-1.182314E-5
203	2.631859E-2
204	2.237812E-2
205	-6.607016E-5
206	3.049621E-2
207	3.617498E-4
208	2.655962E-2
209	2.892582E-2
210	1.718667E-2
211	2.240544E-2
212	2.570579E-2
213	2.916103E-2
214	2.181185E-2
215	1.707234E-2
216	2.993275E-2
217	2.566905E-2
218	-5.387834E-5
219	3.464070E-2
220	2.511622E-2
221	3.264840E-2
222	2.015871E-2
223	2.070461E-2
224	1.119305E-5
225	2.434789E-2
226	1.320661E-5
227	2.988001E-2
228	3.977943E-3
229	2.404660E-2
230	2.385842E-2
231	2.438509E-2
232	3.160230E-2
233	2.024502E-2
234	2.023486E-2
235	2.468498E-2
236	3.002471E-2
237	3.234514E-2
238	1.836511E-2
239	2.984636E-2
240	1.838348E-2
241	1.743718E-2
242	1.745183E-2
243	1.200208E-2
244	1.095493E-2
245	1.372393E-2
246	1.636804E-2
247	1.359873E-2
248	1.725553E-2
249	2.440211E-2
250	2.223691E-2
251	1.384611E-2
252	2.272158E-2
253	1.958115E-2
254	2.220146E-2
255	1.274966E-3
256	2.941975E-2
257	2.334035E-2
258	2.488627E-2
259	2.063370E-2
260	2.531776E-2
261	2.414110E-2
262	2.650240E-2
263	1.825143E-2
264	1.579420E-2
265	2.870245E-2
266	2.412784E-2
267	2.892314E-2
268	1.764178E-2
269	2.391230E-2
270	1.958060E-2
271	2.274918E-2
272	2.348552E-2
273	2.454999E-2
274	2.333128E-2
275	2.693911E-2
276	2.695723E-2
277	1.620078E-2
278	2.758013E-2
279	2.138476E-2
280	2.364689E-2
281	2.661853E-2
282	1.521338E-2
283	2.522056E-2
284	6.415338E-4
285	2.103825E-2
286	2.462834E-2
287	2.042309E-2
288	1.940954E-2
289	1.092284E-2
290	2.132994E-2
291	2.038859E-2
292	1.480318E-2
293	2.259599E-2
294	2.689935E-2
295	-9.192596E-5
296	1.188322E-2
297	2.137874E-2
298	1.904033E-2
299	2.912757E-2
300	2.700363E-2
301	2.443911E-2
302	7.109643E-5
303	1.578391E-2
304	3.010766E-5
305	2.165611E-2
306	2.542591E-5
307	1.816405E-2
308	1.527988E-2
309	1.739692E-6
310	2.010514E-4
311	3.154386E-5
312	2.668410E-2
313	2.838159E-2
314	2.983072E-2
315	1.982542E-2
316	2.299103E-2
317	2.996175E-4
318	1.659259E-2
319	1.517700E-2
320	2.651545E-2
