#	LABOCA / ABBA
#	Full set of channels - 20070509 (new array)
#--------------------------------------------------
#
#columns:
#1=backend channel	[1-320]
#2=box number	[1-4]
#3=group	[0-12]
#4=amplifier	[1-5]
#5=board	[A-P]
#6=cable	[A-M]
#7=pin number	[0-26]
#8=bolometer number in the array	[0-295]
#9=channel state	[B/R/N]
#10=comment
#
#NOTE: 0 means not bolometer/not connected
#
#
#BEch	box	group	amp	board	cable	pin	bolo	state	comment
#-----------------------------------------------------------------------------------------------
1	1	1	3	A	I	11	206	B	
2	1	1	5	B	I	7	201	B	
3	1	1	3	C	I	17	210	B	
4	1	1	3	B	I	14	211	B	blind, bad horn with too
5	1	1	2	C	I	18	212	B	
6	1	1	3	D	I	20	215	B	
7	1	1	1	B	I	16	217	B	
8	1	1	1	D	I	22	218	B	
9	1	1	5	C	I	5	203	B	
10	1	1	4	C	I	6	202	B	
11	1	1	4	B	I	8	205	B	
12	1	1	1	C	I	19	214	B	
13	1	1	2	A	I	12	209	B	
14	1	1	2	B	I	15	213	B	
15	1	1	2	D	I	21	220	R	1MOhm, broken membrane
16	1	1	1	A	I	13	207	R	1MOhm, broken membrane
17	1	3	5	M	G	7	153	B	
18	1	3	4	P	G	1	149	B	
19	1	3	3	M	G	15	165	B	
20	1	3	3	N	G	18	164	B	
21	1	3	4	O	G	3	152	B	
22	1	3	4	N	G	6	154	B	
23	1	3	1	O	G	23	168	B	
24	1	3	2	N	G	19	166	B	
25	1	3	4	M	G	8	157	B	
26	1	3	5	P	G	2	151	B	
27	1	3	5	N	G	5	155	B	
28	1	3	5	O	G	4	150	B	
29	1	3	3	O	G	21	0	R	1MOhm, not connected
30	1	3	1	N	G	20	167	B	
31	1	3	2	O	G	22	170	B	
32	1	3	1	M	G	17	162	B	
33	1	3	3	P	G	26	0	R	1MOhm, not connected
34	1	2	4	I	H	6	177	B	
35	1	3	1	P	G	24	0	R	1MOhm, not connected
36	1	2	5	I	H	5	178	B	
37	1	2	3	K	H	25	194	B	
38	1	2	3	I	H	19	189	B	
39	1	2	5	J	H	3	175	B	
40	1	2	2	K	H	26	0	R	1MOhm, not connected
41	1	3	2	P	G	25	171	B	
