115153789.520264 2.299716 5.656200  20.257637 96
116280555.725098 2.220488 2.258423  79.226173 97
117079973.220825 2.276095 0.117051  71.880554 98
117356538.772583 2.310457 -0.907513  31.876465 99
117708206.176758 2.338845 -1.938033  62.808571 100
118059396.743774 2.305024 -4.246162  70.011497 101
118563890.457153 2.119341 -7.161753  107.926926 102
118695020.675659 3.135551 -8.975785  29.440540 103
118734598.159790 3.440868 -9.566314  27.233383 104
119735002.517700 6.877090 7.988912  65.894028 105
120922327.041626 6.769262 5.688163  20.474012 106
121723413.467407 6.924622 3.559398  32.495651 107
122760295.867920 6.864955 1.325043  16.524570 108
123057842.254639 6.900784 0.260904  80.397537 109
123364686.965942 6.829492 -0.809102  74.032867 110
123891830.444336 6.949991 -2.978363  56.817974 111
124036550.521851 7.029860 -4.115905  48.235634 112
124469757.080078 7.102236 -6.216759  90.355339 113
124602556.228638 7.370516 -7.216201  64.908699 114
124694347.381592 7.733220 -9.286764  30.301607 115
124722242.355347 11.667727 9.978355  80.781433 116
125270843.505859 11.496513 8.856134  27.954819 117
125860214.233398 11.683198 7.750465  84.800278 118
127096414.566040 11.563490 5.603993  33.814430 119
127650499.343872 11.624856 4.519626  25.144941 120
128236770.629883 11.636955 3.368736  17.685299 121
128770351.409912 11.764020 2.350712  42.863270 122
129020452.499390 11.767196 1.273803  30.240589 123
129416465.759277 11.745574 0.162875  22.755669 124
129784822.463989 11.848224 -0.914907  26.217007 125
130266189.575195 11.763314 -3.088909  9.628845 126
130327939.987183 11.833774 -4.206451  35.998474 127
130378723.144531 11.952089 -5.271241  27.143661 128
130602121.353149 12.340926 -8.291069  70.626892 130
130718708.038330 12.088358 -6.336103  26.531078 131
130805253.982544 12.466249 -9.094622  110.406189 132
131094932.556152 -1.099083 9.264699  27.997267 134
131891489.028931 -1.202712 8.114394  58.474869 136
132489442.825317 -1.249593 7.023654  50.095181 138
132945060.729980 -1.239004 6.060858  77.197456 140
134330511.093140 -1.364811 3.853046  134.581223 143
134642124.176025 -1.388057 2.796307  119.597565 144
135145664.215088 -1.268876 1.691521  49.516392 147
136091947.555542 -1.344484 -0.555966  128.509918 154
136492490.768433 -1.341581 -1.593405  129.590607 158
136931657.791138 -1.364843 -2.609712  153.200012 161
137162923.812866 -1.278899 -3.673826  221.920761 162
137326955.795288 -1.292500 -4.737622  184.193359 163
137848138.809204 -1.088783 -6.827447  89.675797 165
137965917.587280 3.378528 8.346272  53.130009 166
138036727.905273 -0.987709 -7.718084  68.376007 167
138123989.105225 -0.000000 -10.000000  0.000000 168
138154029.846191 -0.430821 -9.400897  50.676998 169
139150619.506836 3.418742 6.218029  16.511333 171
139898300.170898 3.355778 5.114357  21.435434 174
140662908.554077 3.275078 4.011043  21.772348 176
140986680.984497 3.311017 2.986584  41.278786 178
141438722.610474 3.348455 1.843026  84.705696 181
142119884.490967 3.343230 0.691271  26.467207 190
142468452.453613 3.313975 -0.451718  78.035553 191
142891168.594360 3.424280 -1.456182  78.623184 192
142946958.541870 2.292291 6.472480  37.456203 193
143246889.114380 3.303604 -2.552670  124.202080 194
143497705.459595 8.144423 9.385574  70.390228 195
143602848.052979 3.455634 -3.617453  133.280670 196
143733739.852905 3.441996 -4.721789  49.568748 197
143856048.583984 3.518715 -5.739441  94.979813 198
144058465.957642 3.546646 -6.796600  54.984222 199
144355058.670044 8.116528 8.215117  36.156738 200
144374370.574951 3.969742 -7.562742  15.558801 201
144439458.847046 4.028910 -8.472975  18.756784 202
144592761.993408 4.254841 -9.384085  34.975269 203
144640922.546387 4.402986 -10.034244  35.754299 204
144989967.346191 8.158489 7.291303  32.970123 205
145718336.105347 8.128756 6.214324  18.478354 206
146430492.401123 8.066499 4.977311  37.059078 207
147031784.057617 8.143988 3.959971  58.719128 208
147449016.571045 8.179707 2.895798  22.312527 209
148065805.435181 8.132669 1.845620  36.422272 210
148789167.404175 8.044911 0.681766  62.891254 211
149044513.702393 8.240410 -0.456932  12.161470 212
149510383.605957 8.375173 -1.481629  19.392523 213
149825334.548950 12.637483 9.531365  57.444233 214
149961471.557617 8.269310 -2.497104  87.646111 215
150179386.138916 8.416562 -3.703413  22.193678 216
150333404.541016 8.368169 -4.726374  42.495842 217
150476217.269897 12.641857 8.347414  53.107109 218
150601387.023926 8.479384 -5.797624  29.015322 219
150803327.560425 8.607537 -6.909028  56.929386 220
150989294.052124 8.775326 -8.743302  84.079445 221
151001691.818237 8.590859 -7.799071  100.282486 222
151096343.994141 8.999496 -9.481304  66.303314 223
151382446.289062 12.635924 7.303053  52.431225 224
152018308.639526 12.664535 6.152216  38.520290 225
152657032.012939 12.709014 5.094553  26.508596 226
153362512.588501 12.727786 4.084734  47.502335 227
153701305.389404 0.000000 10.000000  0.000000 228
154069900.512695 12.707006 2.919985  20.530529 229
154546499.252319 0.045603 8.862316  27.940704 230
154690742.492676 12.694527 1.776204  24.686367 231
154942750.930786 12.779392 0.765321  18.574873 232
155371189.117432 -0.107897 7.712216  58.333416 233
155432462.692261 12.807215 -0.305642  14.008321 234
156362771.987915 12.945721 -2.447545  33.296852 237
156618118.286133 12.978524 -4.715916  13.947759 239
156871318.817139 -0.086460 5.571381  64.699318 242
158144712.448120 -0.021908 3.409640  55.442131 248
158729076.385498 -0.133588 2.239653  129.283112 250
159562349.319458 0.024871 1.288278  54.078609 252
159953594.207764 -0.178820 0.139193  85.758865 254
160821676.254272 4.608726 10.104506  40.995995 258
160915374.755859 -0.188478 -2.095423  134.464981 260
161512136.459351 -0.082932 -4.224020  130.129303 263
161791801.452637 -0.023625 -5.228640  27.815968 264
161912679.672241 4.554812 8.967123  21.586823 265
162155389.785767 0.171108 -6.340504  48.555679 268
162493228.912354 0.554089 -8.069118  92.221146 272
162693500.518799 4.390588 7.957981  19.196135 273
162865638.732910 1.080135 -9.644858  102.085091 275
163396835.327148 4.427146 6.814148  57.008018 280
164286375.045776 4.447853 5.682825  27.447916 282
165215969.085693 4.459320 4.598681  16.301081 285
165723085.403442 4.428419 3.535559  67.373291 286
166281938.552856 4.406856 2.477795  21.543644 289
167104244.232178 4.476711 1.346347  22.966463 292
167221546.173096 9.445775 9.959233  44.574055 293
167628765.106201 4.421771 0.222694  60.061348 295
168153285.980225 4.459120 -0.880913  71.386475 300
168212890.625000 9.416683 8.789024  27.720337 301
168609619.140625 4.478972 -1.985061  72.119965 305
