60445785.522461 -14.880597 8.339006  123.624039 1
61047554.016113 -14.285959 6.237552  126.798187 2
61497926.712036 -14.351539 4.091682  117.093727 3
63126802.444458 -14.148111 -1.972299  78.427872 5
63807487.487793 -14.313252 -5.456478  56.901527 7
63969612.121582 -13.630119 -7.995306  59.169907 8
64158678.054810 -13.789393 -11.676086  27.714872 9
66464185.714722 -19.285583 2.019439  176.550003 13
67156553.268433 -19.030542 1.927985  198.612259 15
67694902.420044 -19.105562 -0.097301  144.124435 17
68247556.686401 -19.013990 -2.013632  125.367699 19
69103002.548218 -18.938147 -6.503859  91.262146 22
69220066.070557 -18.491253 -8.287138  95.658043 23
69494247.436523 -17.761284 -10.250432  115.554428 24
70781707.763672 -16.311331 3.046599  348.172668 28
71376085.281372 -18.660427 2.341141  292.182983 30
74268102.645874 -19.978962 -5.359858  185.459930 44
74479579.925537 -17.571466 -6.346249  385.882568 45
75817108.154297 -15.624519 5.038629  384.663513 51
76799631.118774 -18.992023 5.501009  151.162491 54
77464818.954468 -19.869968 4.661296  134.831329 57
77816247.940063 -16.380404 9.249683  168.391190 60
78662157.058716 -16.606703 7.420532  172.669891 67
79477548.599243 -16.457943 3.610595  132.877625 72
80331087.112427 -16.485464 2.527572  123.887878 77
81072807.312012 -17.293861 -0.712514  463.637238 80
81705808.639526 -19.369856 -8.392970  137.911499 84
81904411.315918 -16.564165 -3.358805  176.447845 85
82427978.515625 -16.193645 -3.308915  103.207901 87
83098649.978638 -16.092289 -5.233696  85.379791 91
83383560.180664 -16.883137 -9.783784  379.666016 93
83817720.413208 -15.991683 -9.921786  102.892204 94
106161594.390869 -0.000000 10.000000  0.000000 105
107357740.402222 0.040958 7.948634  28.511688 106
108506917.953491 0.001966 6.027490  46.323032 107
108989953.994751 -0.181830 4.948498  30.897343 108
109207391.738892 -0.182435 4.153861  27.630184 109
109640598.297119 0.091727 2.684410  13.919810 110
110267400.741577 0.024345 1.887311  38.046158 111
110453367.233276 -0.118946 0.601245  20.176216 112
110795021.057129 0.064163 -0.362383  28.661156 113
111182451.248169 -0.099913 -1.259498  9.831124 114
111307382.583618 -0.178972 -2.426182  13.661142 115
111390829.086304 0.088676 -3.634429  9.613785 116
111612796.783447 -0.026409 -4.522393  17.691713 117
111881017.684937 -0.318930 -6.231587  25.441963 118
111988067.626953 0.062137 -7.588896  25.195887 119
111997365.951538 0.064218 -6.436310  38.494949 120
112073659.896851 0.017471 -8.969245  9.613775 121
112113952.636719 0.000000 -10.000000  0.000000 122
112781286.239624 4.569284 10.002491  34.868038 123
113530635.833740 4.816909 9.171964  19.207218 124
114027738.571167 4.667908 8.137829  18.326967 125
115157604.217529 4.890855 6.169549  18.756355 126
115713357.925415 4.824817 5.054263  28.885384 127
115918874.740601 4.881757 3.962115  21.660181 128
116284132.003784 4.872704 3.048684  8.283833 129
116895675.659180 4.604721 1.992048  8.166717 130
117083549.499512 4.688619 1.190245  15.885859 131
117359876.632690 4.870954 0.045927  22.129421 132
117711544.036865 5.041715 -1.271645  21.443108 133
118000030.517578 4.991030 -2.271311  24.833475 134
