#Skyoffsets for MUSTANG1.5 - Correct for roaches 1 and 2 (0 and 1 in zero base)
#Resonant frequencies are in seperate files
#roation & shift of positions poor fit (by eye), relative positions should be great
#
# merged detector polarization info from skyoffs_Current.txt (3 Sep 2015)
#
#roach physical_detector  dxel(")  delev(")    Mask	pol(deg)
         0         0      -0.0       0.0         0	
         0         1     -74.2     -88.4         1	-45
         0         2     -74.2     -88.4         1	45
         0         3     -42.4     -50.5         1	0
         0         4     -42.4     -50.5         1	90
         0         5     -58.6     -47.6         1	0
         0         6     -58.6     -47.6         1	90
         0         7     -31.8     -37.9         1	-45
         0         8     -31.8     -37.9         1	45
         0         9     -21.2     -25.2         1	-45
         0        10     -21.2     -25.2         1	45
         0        11     -53.6     -19.5         1	0
         0        12     -53.6     -19.5         1	90
         0        13     -80.5     -29.3         1	-45
         0        14     -80.5     -29.3         1	45
         0        15     -10.6     -12.6         1	0
         0        16     -10.6     -12.6         1	90
         0        17     -26.8      -9.8         1	-45
         0        18     -26.8      -9.8         1	45
         0        19      -0.0       0.0         1	0
         0        20      -0.0       0.0         1	90
         0        21     -16.2       2.9         1	0
         0        22     -16.2       2.9         1	90
         0        23     -32.5       5.7         1	-45
         0        24     -75.5      -1.2         1	0
         0        25     -75.5      -1.2         1	90
         0        26     -48.7       8.6         1	-45
         0        27     -48.7       8.6         1	45
         0        28     -64.9      11.4         1	0
         0        29     -64.9      11.4         1	90
         0        30     -97.4      17.2         1	-45
         0        31     -97.4      17.2         1	45
         0        32    -113.6      20.0         1	-45
         0        33    -113.6      20.0         1	45
         0        34      -0.0       0.0         0	
         0        35      -0.0       0.0         0	
         1         0      -0.0       0.0         0	
         1         1      74.2      88.4         1	0
         1         2      74.2      88.4         1	90
         1         3      63.6      75.7         1	-45
         1         4      63.6      75.7         1	45
         1         5      42.4      50.5         1	0
         1         6      42.4      50.5         1	90
         1         7      58.6      47.6         1	-45
         1         8      58.6      47.6         1	45
         1         9      31.8      37.9         1	0
         1        10      31.8      37.9         1	90
         1        11      80.5      29.3         1	-45
         1        12      80.5      29.3         1	45
         1        13      21.2      25.2         1	-45
         1        14      53.6      19.5         1	0
         1        15      53.6      19.5         1	90
         1        16      26.8       9.8         1	-45
         1        17      26.8       9.8         1	45
         1        18      10.6      12.6         1	-45
         1        19      10.6      12.6         1	45
         1        20      16.2      -2.9         1	-45
         1        21      16.2      -2.9         1	45
         1        22      32.5      -5.7         1	-45
         1        23      32.5      -5.7         1	45
         1        24      75.5       1.2         1	-45
         1        25      75.5       1.2         1	45
         1        26      48.7      -8.6         1	0
         1        27      48.7      -8.6         1	90
         1        28      64.9     -11.4         1	0
         1        29      64.9     -11.4         1	90
         1        30      97.4     -17.2         1	-45
         1        31      97.4     -17.2         1	45
         1        32     113.6     -20.0         1	0
         1        33     113.6     -20.0         1	90
         1        34      -0.0       0.0         0
         1        35      -0.0       0.0         0
         2         0      -0.0       0.0         0
         2         1      -5.6      15.5         1	0
         2         2      -5.6      15.5         1	90
         2         3     -21.9      18.3         1	0
         2         4     -21.9      18.3         1	90
         2         5     -70.6      26.9         1	0
         2         6     -70.6      26.9         1	90
         2         7       5.0      28.1         1	0
         2         8       5.0      28.1         1	90
         2         9     -11.3      31.0         1	-45
         2        10     -11.3      31.0         1	45
         2        11     -43.7      36.7         1	-45
         2        12     -43.7      36.7         1	45
         2        13     -16.9      46.5         1	-45
         2        14     -16.9      46.5         1	45
         2        15     -65.6      55.0         1	0
         2        16     -65.6      55.0         1	90
         2        17       9.9      56.2         1	0
         2        18       9.9      56.2         1	90
         2        19     -22.5      61.9         1	0
         2        20     -22.5      61.9         1	90
         2        21     -38.8      64.8         1	-45
         2        22     -38.8      64.8         1	45
         2        23      36.7      66.0         1	-45
         2        24      36.7      66.0         1	45
         2        25     -12.0      74.6         1	0
         2        26     -12.0      74.6         1	90
         2        27      14.9      84.3         1	0
         2        28      14.9      84.3         1	90
         2        29     -33.8      92.9         1	0
         2        30     -33.8      92.9         1	90
         2        31     -39.5     108.4         1	0
         2        32     -39.5     108.4         1	90
         2        33      -0.0       0.0         0
         2        34      -0.0       0.0         0
         2        35      -0.0       0.0         0
         3         0      -0.0       0.0         0
         3         1       5.6     -15.5         1	0
         3         2       5.6     -15.5         1	90
         3         3      21.9     -18.3         1	0
         3         4      21.9     -18.3         1	90
         3         5      70.6     -26.9         1	-45
         3         6      70.6     -26.9         1	45
         3         7      -5.0     -28.1         1	0
         3         8      -5.0     -28.1         1	-45
         3         9      11.3     -31.0         1	45
         3        10      43.7     -36.7         1	0
         3        11      43.7     -36.7         1	90
         3        12      16.9     -46.5         1	0
         3        13      16.9     -46.5         1	90
         3        14      65.6     -55.0         1	0
         3        15      65.6     -55.0         1	90
         3        16      -9.9     -56.2         1	-45
         3        17      -9.9     -56.2         1	45
         3        18      22.5     -61.9         1	0
         3        19      22.5     -61.9         1	90
         3        20      38.8     -64.8         1	-45
         3        21      38.8     -64.8         1	45
         3        22      12.0     -74.6         1	0
         3        23      12.0     -74.6         1	90
         3        24     -36.7     -66.0         1	0
         3        25     -36.7     -66.0         1	90
         3        26     -63.6     -75.7         1	-45
         3        27     -63.6     -75.7         1	45
         3        28     -14.9     -84.3         1	-45
         3        29     -14.9     -84.3         1	45
         3        30      33.8     -92.9         1	0
         3        31      33.8     -92.9         1	90
         3        32      39.5    -108.4         1	0
         3        33      39.5    -108.4         1	90
         3        34      -0.0       0.0         0
         3        35      -0.0       0.0         0

