# SABOCA Connection Table
# G. Siringo, MPIfR - May 2008
#
# note: offset prediction
#
#bech	SQIF	SQUID	azoff	eloff	comment
#---------------------------------------------
1	4	8	0	0	--
2	4	6	-3.79946	-14.17979	--
3	4	7	10.38033	-10.38033	--
4	4	9	14.17979	3.79946	--
5	4	10	17.97925	17.97926	--
6	4	1	28.35958	7.59893	--
7	4	2	24.56012	-6.58086	--
8	4	3	20.76066	-20.76065	--
9	4	4	6.58087	-24.56012	--
10	4	5	-7.59893	-28.35958	--
11	1	6	3.79946	14.17979	--
12	1	7	-10.38033	10.38033	--
13	1	9	-14.17979	-3.79946	--
14	1	10	-17.97925	-17.97926	--
15	1	1	-28.35958	-7.59893	--
16	1	2	-24.56012	6.58086	--
17	1	3	-20.76066	20.76065	--
18	1	4	-6.58087	24.56012	--
19	1	5	7.59893	28.35958	--
20	3	2	21.77872	32.15905	--
21	3	1	11.39839	42.53937	--
22	3	3	-2.7814	38.73991	--
23	3	4	-16.96119	34.94044	--
24	3	5	-31.14099	31.14098	--
25	3	6	-34.94045	16.96119	--
26	3	7	-38.73991	2.7814	--
27	3	9	-42.53937	-11.39839	--
28	3	8	-32.15904	-21.77872	--
29	2	2	-21.77872	-32.15905	--
30	2	1	-11.39839	-42.53937	--
31	2	3	2.7814	-38.73991	--
32	2	4	16.96119	-34.94044	--
33	2	5	31.14099	-31.14098	--
34	2	6	34.94045	-16.96119	--
35	2	7	38.73991	-2.7814	--
36	2	9	42.53937	11.39839	--
37	2	8	32.15904	21.77872	--
38	2	10	-49.12024	13.16173	blind bolometer
39	3	10	49.12024	-13.16173	blind bolometer
40	1	8			not connected
