#elevation(degrees) response
0.000000 0.700000
1.000000 0.716073
2.000000 0.732081
3.000000 0.747959
4.000000 0.763642
5.000000 0.779064
6.000000 0.794162
7.000000 0.808869
8.000000 0.823122
9.000000 0.836853
10.000000 0.850000
11.000000 0.862511
12.000000 0.874398
13.000000 0.885684
14.000000 0.896395
15.000000 0.906557
16.000000 0.916194
17.000000 0.925331
18.000000 0.933995
19.000000 0.942209
20.000000 0.950000
21.000000 0.957382
22.000000 0.964329
23.000000 0.970806
24.000000 0.976778
25.000000 0.982209
26.000000 0.987063
27.000000 0.991305
28.000000 0.994899
29.000000 0.997809
30.000000 1.000000
31.000000 1.001462
32.000000 1.002286
33.000000 1.002590
34.000000 1.002492
35.000000 1.002107
36.000000 1.001554
37.000000 1.000949
38.000000 1.000411
39.000000 1.000055
40.000000 1.000000
41.000000 1.000321
42.000000 1.000926
43.000000 1.001682
44.000000 1.002455
45.000000 1.003113
46.000000 1.003522
47.000000 1.003548
48.000000 1.003059
49.000000 1.001921
50.000000 1.000000
51.000000 0.997155
52.000000 0.993211
53.000000 0.987983
54.000000 0.981287
55.000000 0.972940
56.000000 0.962758
57.000000 0.950557
58.000000 0.936153
59.000000 0.919362
60.000000 0.900000
61.000000 0.878009
62.000000 0.853832
63.000000 0.828038
64.000000 0.801196
65.000000 0.773876
66.000000 0.746645
67.000000 0.720073
68.000000 0.694729
69.000000 0.671182
70.000000 0.650000
71.000000 0.631609
72.000000 0.615862
73.000000 0.602465
74.000000 0.591127
75.000000 0.581557
76.000000 0.573462
77.000000 0.566550
78.000000 0.560531
79.000000 0.555111
80.000000 0.550000
81.000000 0.544953
82.000000 0.539922
83.000000 0.534903
84.000000 0.529895
85.000000 0.524898
86.000000 0.519908
87.000000 0.514926
88.000000 0.509948
89.000000 0.504973
90.000000 0.500000
