# SHARC2 Non-linearity Coefficients 
#
# row	col	G(eps=0)	I0(Vb=1V)	T0 (K))
# ----- ------- --------------  --------------- ----------
1	3	1.004597	1.0486E-2	698.242920
1	5	1.042720	1.0862E-2	706.373657
1	6	1.077934	1.0950E-2	707.950012
1	7	1.039733	1.1138E-2	725.385864
1	8	0.987489	1.1397E-2	747.769653
1	9	0.442848	1.0449E-2	768.714539
1	10	1.000421	1.1437E-2	769.584717
1	11	0.997288	1.1353E-2	778.678650
1	12	0.977523	1.1326E-2	787.224182
1	13	0.994619	1.1290E-2	782.588684
1	14	0.966991	1.1344E-2	787.223877
1	15	0.985881	1.1252E-2	767.625305
1	16	0.997900	1.1227E-2	753.832336
1	17	0.996245	1.1234E-2	759.023438
1	18	0.973382	1.1177E-2	758.881836
1	19	0.982758	1.0965E-2	757.614441
1	20	0.965844	1.0832E-2	743.447876
1	21	0.961441	1.0703E-2	757.240540
1	22	1.013493	1.0470E-2	702.896118
1	23	1.002489	1.0331E-2	702.291870
1	24	0.974639	1.0136E-2	694.207825
1	25	0.949174	9.9994E-3	701.210632
1	26	0.928619	9.8365E-3	696.715759
1	27	0.928989	9.7428E-3	702.549744
1	28	0.914696	9.6738E-3	700.562744
1	29	0.903157	9.4272E-3	686.202820
1	30	0.912599	9.2799E-3	686.908142
1	31	0.854269	9.3269E-3	710.919617
2	1	0.867265	8.4157E-3	659.687622
2	2	0.915489	8.8965E-3	664.230835
2	3	0.911053	9.2049E-3	687.384827
2	4	0.911667	9.7403E-3	719.017395
2	5	0.929951	9.9844E-3	708.880127
2	7	0.964811	1.0618E-2	702.670715
2	8	0.997627	1.0359E-2	709.390198
2	9	1.021183	1.0494E-2	711.256042
2	10	0.990974	1.0857E-2	746.365601
2	11	0.981486	1.1192E-2	761.578857
2	12	0.986830	1.1214E-2	774.288757
2	13	0.997327	1.1368E-2	789.730896
2	14	1.072166	1.2170E-2	673.675781
2	15	1.147011	1.0129E-2	701.189636
2	16	1.030062	1.1785E-2	798.392639
2	17	1.033908	1.2047E-2	773.953430
2	18	1.033420	1.2048E-2	794.653381
2	19	1.051335	1.2072E-2	797.311218
2	20	1.053317	1.2026E-2	784.550293
2	21	1.043542	1.1979E-2	785.735352
2	22	1.061079	1.1944E-2	776.462952
2	23	1.051721	1.1832E-2	775.526184
2	24	1.075946	1.1538E-2	743.178284
2	25	1.073921	1.1462E-2	742.168152
2	26	1.041199	1.1706E-2	766.174316
2	28	0.947706	1.1160E-2	788.783081
2	29	0.990426	1.0708E-2	736.224182
2	30	0.969699	1.0614E-2	743.152893
2	31	0.723214	9.6214E-3	855.775513
2	32	0.628208	1.1830E-2	1171.262207
3	1	1.202221	1.0881E-2	670.861389
3	2	1.224046	1.1017E-2	693.940247
3	3	1.116025	1.2330E-2	757.787109
3	4	1.134032	1.2773E-2	776.614563
3	6	1.113714	1.2689E-2	776.731140
3	7	1.121399	1.3415E-2	817.126587
3	8	1.119870	1.3081E-2	796.396790
3	9	1.124060	1.2852E-2	787.232422
3	10	1.130127	1.3382E-2	816.586914
3	11	1.106770	1.3452E-2	830.453064
3	12	1.115895	1.3765E-2	841.736755
3	13	1.295447	1.2564E-2	698.858765
3	14	1.111708	1.3868E-2	854.843750
3	15	1.126889	1.3687E-2	833.546753
3	16	1.128224	1.3699E-2	830.442871
3	17	1.114785	1.3737E-2	809.403503
3	18	1.110344	1.3540E-2	832.957947
3	19	1.094629	1.3558E-2	846.891724
3	20	1.222574	1.1995E-2	698.744751
3	21	1.070129	1.3162E-2	834.759399
3	22	1.149897	1.2525E-2	755.833984
3	23	1.100443	1.2575E-2	784.779236
3	24	1.226484	1.1352E-2	667.727173
3	25	1.096032	1.2368E-2	773.478149
3	26	1.078168	1.2135E-2	774.453857
3	27	1.077858	1.1919E-2	761.769165
3	28	1.046072	1.1609E-2	757.014099
3	29	1.038422	1.1431E-2	748.228638
3	30	1.021572	1.1014E-2	732.623657
3	31	1.018632	1.0278E-2	692.048462
3	32	0.958024	8.8258E-3	634.924133
4	1	1.060508	1.1129E-2	698.882019
4	2	1.034728	1.1702E-2	752.755615
4	5	1.085253	1.2025E-2	746.709106
4	6	1.059471	1.2502E-2	791.475525
4	8	1.051886	1.2946E-2	815.840454
4	9	1.076343	1.2693E-2	791.823792
4	10	1.074911	1.2796E-2	804.794250
4	11	1.060478	1.2599E-2	799.692322
4	12	1.040509	1.2461E-2	796.531311
4	13	1.017473	1.2278E-2	794.159302
4	15	1.048311	1.1860E-2	780.744141
4	16	1.038803	1.1903E-2	765.668396
4	17	1.080477	1.1652E-2	729.151428
4	18	1.148960	1.0453E-2	643.736633
4	19	1.042415	1.1514E-2	734.735535
4	20	1.043679	1.1341E-2	733.272949
4	21	1.029382	1.1147E-2	722.531433
4	22	1.026501	1.1059E-2	719.361267
4	23	1.027183	1.1082E-2	724.227600
4	24	1.095282	1.0821E-2	686.446716
