# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-12.118	J0948+004	22.91	1.9	0.126	0.0167 98	38.1	3.3	-132 42	9.8 0	36.6	17.1 0.1	-11.4 -63.4	0.411 3.6E-3	0.433 5.5E-3	17.5 0.2
2011-04-12.119	J0948+004	23.07	1.9	0.114	0.0163 98	37.9	3.6	-129 40	9.8 0	38.3	16.7 -0.4	-12.3 -65.8	0.416 3.1E-3	0.422 5.5E-3	17.2 0.1
# Nasmyth offset changed to -47.5, -14.3 but somehow does not seem to be applied...
#2011-04-12.120	J0948+004	23.19	1.9	0.097	0.0169 97	38.1	3.2	-127 39	9.8 0	39.5	78.7 1.0	49.3 -65.8	0.402 3.3E-3	0.421 5.2E-3	17.3 0.1
2011-04-13.1	J0948+004	0.05	1.8	0.100	0.0183 93	37.9	2.8	-116 30	9.8 0	46.0	15.6 -2.4	-17.0 -79.2	0.405 3.4E-3	0.419 5.9E-3	17.0 0.1
2011-04-13.2	J1504+105	0.55	1.9	0.137	0.0177 94	37.8	2.6	140 58	15.1 10	-31.2	10.3 12.9	-23.0 -31.3	0.726 3.3E-3	0.736 6.7E-3	17.3 0.1
2011-04-13.7	J1504+105	1.49	1.9	0.087	0.0173 98	38.3	3.2	166 63	15.1 10	-10.8	15.2 8.3	-11.9 -26.8	0.672 2.8E-3	0.708 5.3E-3	17.6 0.1
2011-04-13.8	J1405+043	1.60	1.9	0.085	0.0169 97	38.0	3.0	-162 56	14.1 4	14.7	15.9 4.2	-9.4 -40.0	0.132 3.1E-3	0.122 4.1E-3	16.2 0.4
2011-04-13.12	J1504+105	2.22	1.9	0.096	0.0168 98	37.9	3.6	-170 63	15.1 10	8.5	15.0 4.9	-7.9 -29.6	0.688 3.7E-3	0.732 5.3E-3	17.5 0.1
2011-04-13.13	J1405+043	2.28	1.9	0.081	0.0183 97	37.8	3.6	-146 52	14.1 4	27.2	15.4 0.1	-9.5 -50.0	0.135 3.4E-3	0.124 3.5E-3	16.3 0.4
2011-04-13.14	IRAS16293	2.35	1.9	0.088	0.0175 97	38.0	3.3	164 27	16.5 -24	-13.6	16.9 8.1	-23.1 -65.9	1.63 7.0E-3	2.28 8.7E-3	20.0 0.1
2011-04-13.15	Arp220	2.46	1.9	0.092	0.0168 98	38.0	3.2	-178 76	15.6 24	2.5	16.5 8.7	-0.6 -7.2	0.0674 3.6E-3	0.0656 3.5E-3	15.3 0.8
2011-04-13.16	Arp220	2.52	1.9	0.089	0.0167 98	37.8	3.5	-174 76	15.6 24	5.8	13.8 7.3	-2.6 -8.7	0.0670 3.4E-3	0.0640 3.5E-3	16.0 0.8
2011-04-13.19	J1310+323	2.85	1.9	0.099	0.0174 97	38.0	3.7	-85 55	13.2 32	70.0	7.8 -9.9	-11.6 -66.7	0.798 4.0E-3	0.809 5.5E-3	17.3 0.1
2011-04-13.20	J1506+427	3.09	1.9	0.042	0.0181 95	36.9	3.8	-62 76	15.1 43	71.3	6.4 -6.8	-1.8 -39.9	0.378 3.7E-3	0.420 5.8E-3	17.8 0.2
2011-04-13.21	J1506+427	3.14	1.9	0.042	0.0177 98	36.7	3.7	-62 75	15.1 43	70.8	6.9 -6.6	-1.5 -40.2	0.368 3.5E-3	0.414 5.8E-3	17.9 0.2
2011-04-13.22	J1642+689	3.30	1.9	0.087	0.0189 98	36.7	4.0	2 58	16.7 69	-58.3	-0.2 -1.3	-27.5 -64.4	0.576 3.6E-3	0.617 6.0E-3	17.5 0.1
2011-04-13.23	J2015+372	3.53	1.8	0.090	0.0204 99	36.7	3.9	73 48	20.3 37	-0.5	3.5 0.9	-35.9 -66.7	1.85 5.1E-3	2.03 8.3E-3	17.8 0.0
2011-04-13.25	J1733-131	3.66	1.7	0.079	0.0214 71	38.0	3.3	166 39	17.6 -13	-10.9	17.8 8.6	-19.0 -54.7	1.08 0.012	1.82 0.020	20.8 0.2
2011-04-13.30	J1504+105	4.91	1.9	0.090	0.0167 98	38.0	2.6	-111 42	15.1 10	49.1	14.7 -5.6	-12.6 -72.7	0.651 3.5E-3	0.677 5.2E-3	17.4 0.1
2011-04-13.31	J1405+043	4.96	1.9	0.131	0.0167 99	37.9	2.7	-105 26	14.1 4	50.6	13.6 -7.0	-20.7 -89.4	0.120 3.5E-3	0.121 4.3E-3	16.4 0.5
2011-04-13.33	J1415+133	5.06	1.9	0.082	0.0166 99	37.8	2.8	-98 32	14.3 13	54.3	14.2 -8.3	-17.2 -86.9	0.339 3.4E-3	0.346 4.3E-3	17.0 0.2
2011-04-13.35	J2038+513	5.48	1.9	0.108	0.0188 99	36.7	3.0	46 65	20.6 51	-10.2	-1.7 -1.5	-32.7 -52.7	1.14 4.0E-3	1.24 7.6E-3	17.6 0.1
2011-04-13.36	J2007+661	5.55	1.9	0.095	0.0172 99	36.9	3.1	16 58	20.1 66	-22.5	-2.9 -2.5	-32.2 -64.7	0.246 3.1E-3	0.231 3.6E-3	16.7 0.2
# sunrise!
2011-04-13.41	J2038+513	6.36	1.9	0.097	0.0186 99	36.8	4.1	34 71	20.6 51	-21.0	-3.5 -3.0	-29.4 -46.2	1.06 4.3E-3	1.18 8.3E-3	17.7 0.1
2011-04-13.42	J2038+513	6.44	11.7	0.066	0.0173 99	68.0	4.5	33 72	20.6 51	-22.3	-3.7 -2.9	-29.1 -45.5	1.13 2.6E-3	1.31 4.1E-3	18.2 0.0
2011-04-13.43	J2007+661	6.73	1.9	0.087	0.0180 99	36.6	4.6	3 61	20.1 66	-36.5	-2.1 -2.8	-28.1 -62.3	0.233 3.3E-3	0.254 5.4E-3	17.6 0.2
2011-04-13.47	J2007+661	7.31	1.9	0.125	0.0194 99	37.0	5.4	-5 61	20.1 66	136.3	0.5 -2.7	-24.3 -62.3	0.231 3.9E-3	0.231 5.5E-3	16.9 0.3
2011-04-13.48	J2038+513	7.37	1.9	0.100	0.0209 99	36.6	5.5	4 76	20.6 51	-41.6	-2.9 -4.9	-21.3 -44.0	1.05 4.4E-3	1.22 8.4E-3	18.2 0.1
2011-04-13.48	J2038+513	7.37	1.9	0.100	0.0209 99	36.6	5.5	4 76	20.6 51	-41.6	-2.9 -4.9	-21.3 -44.0	1.05 4.4E-3	1.22 8.4E-3	18.2 0.1
2011-04-13.48	J2038+513	7.37	1.9	0.100	0.0209 99	36.6	5.5	4 76	20.6 51	-41.6	-2.9 -4.9	-21.3 -44.0	1.05 4.4E-3	1.22 8.4E-3	18.2 0.1
2011-04-13.52	J2038+513	8.01	1.9	0.088	0.0195 99	36.7	5.7	-19 75	20.6 51	123.4	0.9 -7.1	-13.8 -47.1	1.04 4.5E-3	1.22 8.0E-3	18.4 0.1
2011-04-13.53	J2007+661	8.06	1.9	0.077	0.0179 98	36.8	5.8	-13 59	20.1 66	127.5	-0.0 -3.6	-24.1 -64.7	0.227 3.9E-3	0.233 4.5E-3	17.2 0.3
