# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2011-04-12.118	J0948+004	22.91	1.9	0.126	0.0147 98	37.9	3.3	-132 42	9.8 0	36.6	-2.8 2.6	-40.8 -58.4	0.412 3.5E-3	0.419 4.2E-3	17.4 0.1
2011-04-12.119	J0948+004	23.07	1.9	0.114	0.0145 98	37.6	3.6	-129 40	9.8 0	38.2	-3.1 2.4	-41.3 -60.0	0.412 3.2E-3	0.411 4.2E-3	17.3 0.1
# Nasmyth offset changed to -47.5, -14.3 but somehow does not seem to be applied...
2011-04-12.120	J0948+004	23.19	1.9	0.097	0.0148 98	37.7	3.2	-127 39	9.8 0	39.4	-3.1 2.7	-41.7 -60.8	0.400 3.3E-3	0.417 4.9E-3	17.3 0.1
2011-04-13.1	J0948+004	0.05	1.9	0.100	0.0158 93	37.9	2.8	-116 30	9.8 0	46.0	-4.4 1.2	-44.8 -69.9	0.395 3.4E-3	0.412 5.3E-3	17.2 0.1
2011-04-13.2	J1504+105	0.55	1.9	0.137	0.0153 94	37.9	2.6	140 58	15.1 10	-31.2	-0.0 2.5	-43.4 -59.2	0.722 3.7E-3	0.719 5.3E-3	17.3 0.1
2011-04-13.7	J1504+105	1.49	1.9	0.087	0.0150 98	37.8	3.2	167 63	15.1 10	-10.8	2.0 0.2	-40.8 -46.0	0.670 2.9E-3	0.702 4.8E-3	17.6 0.1
2011-04-13.8	J1405+043	1.60	1.9	0.085	0.0148 97	37.6	3.0	-161 56	14.1 4	14.7	-2.9 3.1	-46.4 -44.2	0.131 3.2E-3	0.124 3.2E-3	16.4 0.4
2011-04-13.12	J1504+105	2.22	1.9	0.096	0.0147 98	37.4	3.6	-169 63	15.1 10	8.5	-0.2 1.1	-41.5 -38.2	0.689 4.0E-3	0.730 4.8E-3	17.5 0.1
2011-04-13.13	J1405+043	2.28	1.9	0.081	0.0162 96	37.5	3.6	-145 52	14.1 4	27.1	-4.9 2.3	-47.2 -46.2	0.134 3.4E-3	0.124 3.0E-3	16.3 0.4
2011-04-13.14	IRAS16293	2.35	1.9	0.088	0.0149 97	37.4	3.3	164 27	16.5 -24	-13.6	-4.5 11.2	-51.6 -76.8	1.62 7.1E-3	2.25 8.2E-3	20.0 0.1
2011-04-13.15	Arp220	2.46	1.9	0.092	0.0148 98	37.7	3.2	-177 76	15.6 24	2.5	5.2 -0.2	-30.4 -22.1	0.0670 3.7E-3	0.0683 3.0E-3	15.5 0.8
2011-04-13.16	Arp220	2.52	1.9	0.089	0.0147 98	37.8	3.5	-173 76	15.6 24	5.8	4.1 0.6	-31.2 -20.6	0.0685 3.4E-3	0.0639 3.3E-3	16.1 0.8
2011-04-13.19	J1310+323	2.85	1.9	0.099	0.0154 97	38.2	3.7	-85 55	13.2 32	70.0	-2.5 -1.5	-33.3 -41.7	0.799 4.0E-3	0.796 4.9E-3	17.3 0.1
2011-04-13.20	J1506+427	3.09	1.9	0.042	0.0151 94	38.1	3.8	-62 76	15.1 43	106.7	3.0 -2.1	-13.4 -15.8	0.376 3.6E-3	0.416 4.9E-3	17.9 0.2
2011-04-13.21	J1506+427	3.14	1.9	0.042	0.0148 98	37.8	3.7	-63 75	15.1 43	105.8	3.1 -2.1	-13.7 -16.5	0.371 3.7E-3	0.414 4.8E-3	17.9 0.2
2011-04-13.22	J1642+689	3.30	1.9	0.087	0.0151 98	37.5	4.0	2 58	16.7 69	-175.1	5.5 1.9	-15.5 -47.1	0.573 3.4E-3	0.623 5.0E-3	17.8 0.1
2011-04-13.23	J2015+372	3.53	1.9	0.090	0.0151 99	38.0	3.9	73 48	20.3 37	-73.4	5.6 5.7	-27.2 -64.7	1.81 4.3E-3	2.00 6.5E-3	18.1 0.0
2011-04-13.25	J1733-131	3.66	1.7	0.079	0.0194 68	34.0	3.3	167 39	17.6 -13	-10.9	2.9 5.0	-41.5 -67.0	0.774 0.012	1.37 0.016	19.7 0.3
2011-04-13.30	J1504+105	4.91	1.9	0.090	0.0148 98	38.3	2.6	-111 41	15.1 10	49.1	-5.4 1.4	-43.6 -57.6	0.649 3.4E-3	0.666 4.4E-3	17.5 0.1
2011-04-13.31	J1405+043	4.96	1.9	0.131	0.0148 99	37.9	2.7	-105 25	14.1 4	50.6	-11.3 0.9	-52.7 -71.3	0.120 3.9E-3	0.126 3.8E-3	16.5 0.5
2011-04-13.33	J1415+133	5.06	1.9	0.082	0.0148 99	37.8	2.8	-98 32	14.3 13	54.3	-7.8 -0.6	-47.5 -68.0	0.338 3.5E-3	0.342 4.7E-3	17.1 0.2
2011-04-13.35	J2038+513	5.48	1.9	0.108	0.0147 99	37.8	3.0	46 65	20.6 51	-112.7	1.1 0.6	-25.5 -39.8	1.13 3.8E-3	1.23 6.0E-3	17.7 0.1
2011-04-13.36	J2007+661	5.55	1.9	0.095	0.0145 98	37.7	3.1	16 59	20.1 66	-147.2	1.2 0.9	-27.5 -45.6	0.246 3.0E-3	0.233 3.7E-3	16.7 0.2
# sunrise!
2011-04-13.41	J2038+513	6.36	1.9	0.097	0.0149 99	37.9	4.1	34 72	20.6 51	-134.6	0.4 2.2	-25.4 -28.2	1.07 4.2E-3	1.18 6.6E-3	17.8 0.1
