# id	object	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-09.2	Saturn	1.71	0.3	0.266	0.2292 72	4.4	0.6	-161 43	13.7 -8	15.8	-41.5 -37.4	-44.8 -97.7	108 0.62	78.7 0.63	14.4 0.1
2012-04-09.3	Saturn	1.95	9.5	0.348	0.0209 89	45.7	0.4	-156 42	13.7 -8	20.5	-35.7 -42.9	-38.7 -105.5	146 0.13	296 0.27	23.6 0.0
# Mon Apr  9 02:14:15 UTC 2012 - CRUSH throwing NullPointerException - SFM
# Mon Apr  9 02:26:20 UTC 2012 - adjusted focus to -2.2 and point offset from 20,0 to -40,0 - SFM
2012-04-09.4	Saturn	2.27	9.4	0.283	0.0325 80	45.8	0.6	-150 40	13.7 -8	24.9	-33.8 -44.8	-36.8 -110.5	141 0.30	275 0.50	24.2 0.0
2012-04-09.5	Saturn	2.44	2.7	0.307	0.0268 82	46.0	0.6	-147 39	13.7 -8	26.4	-34.7 -44.7	-37.8 -112.1	160 0.12	300 0.15	22.8 0.0
# Mon Apr  9 02:32:38 UTC 2012 - Focus to -2.6 and offset to -40,30 - SFM
2012-04-09.6	Saturn	2.54	2.7	0.288	0.0227 82	46.2	0.6	-145 39	13.7 -8	27.6	-34.7 -43.3	-37.9 -111.7	172 0.085	309 0.11	23.6 0.0
# Mon Apr  9 02:36:32 UTC 2012 - Focus to -2.0 and offset to -40, -30 - SFM
2012-04-09.7	Saturn	2.60	0.9	0.288	0.0312 82	44.9	0.6	-144 38	13.7 -8	28.1	-34.2 -45.1	-37.4 -114.1	149 0.11	284 0.22	23.2 0.0
2012-04-09.8	Saturn	2.63	0.8	0.288	0.0329 82	45.8	0.6	-144 38	13.7 -8	28.6	-33.9 -45.4	-37.2 -114.8	153 0.11	272 0.17	22.4 0.0
2012-04-10.61	Venus	16.50	1.8	0.052	0.1874 74	37.4	-3.1	-119 70	4.2 25	50.7	8.6 -12.3	15.2 -61.5	323 0.71	826 2.0	27.6 0.1
# Tue Apr 10 16:53:33 UTC 2012 - Apparent issues with CRUSH with last two scans - waking Attila - SFM
# Tue Apr 10 20:13:46 UTC 2012 - working on rising temperatures - SFM
2012-04-11.3	Mars	1.16	1.9	0.095	0.0181 96	37.3	-3.4	-100 34	10.4 13	53.7	-50.6 -82.8	-51.1 -175.8	3.38 0.26	11.7 0.18	29.5 1.9
# Wed Apr 11 01:14:08 UTC 2012 - Recycled - hopefully heating was trapped gas - so far so good - SFM
# Wed Apr 11 01:14:25 UTC 2012 - Working on pointing - SFM
2012-04-11.5	Mars	1.29	1.9	0.129	0.0125 96	74.5	-3.0	-99 32	10.4 13	54.0	-53.7 -135.3	-54.8 -229.5	199 0.20	302 0.31	21.3 0.0
2012-04-11.8	Mars	1.45	2.0	0.127	0.0339 96	37.4	-2.9	-97 30	10.4 13	54.3	-6.0 -1.0	-56.5 -234.9	174 0.13	261 0.13	21.0 0.0
# Wed Apr 11 01:30:15 UTC 2012 - CRUSH had problems with scan .7 - SFM
2012-04-11.9	Mars	1.51	1.7	0.132	0.0346 95	38.1	-3.0	-96 30	10.4 13	54.4	-7.4 -1.4	-56.6 -236.3	177 0.13	258 0.13	20.7 0.0
2012-04-11.10	Mars	1.55	1.8	0.132	0.0335 95	37.5	-2.8	-96 29	10.4 13	54.5	-8.3 -2.0	-56.4 -237.8	150 0.11	268 0.15	22.9 0.0
# Wed Apr 11 01:37:01 UTC 2012 - Temperature is holding! - SFM
2012-04-11.11	Mars	1.60	1.7	0.134	0.0333 96	38.1	-2.5	-96 29	10.4 13	54.6	-8.8 -0.8	-55.7 -237.4	163 0.13	252 0.14	21.3 0.0
2012-04-11.12	Mars	1.68	15.5	0.126	0.0247 96	32.4	-1.8	-95 28	10.4 13	54.8	-11.2 -1.9	-56.1 -239.9	163 0.043	286 0.076	22.2 0.0
