# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-04-16.3	GL490	test	21.83	1.9	0.147	2.0535 96	37.9	-9.5	-2.00	-29 19	3.5 59	48.4	--- ---	--- ---	--- ---	--- ---	--- ---
2012-04-16.4	0923+392	test	21.90	1.8	0.086	1.1962 77	37.9	-9.6	-2.00	-76 67	9.5 39	85.7	--- ---	--- ---	--- ---	--- ---	--- ---
#2012-04-16.5	GL490	test	21.97	1.9	0.148	0.5808 98	76.4	-9.6	-2.00	-28 18	3.5 59	46.8	123.8 31.3	125.1 -60.5	3.22 0.14	53.6 7.0	64.8 2.1
2012-04-16.6	1253-055	test	22.13	1.8	0.118	1.2219 68	38.1	-9.4	-2.00	152 43	12.9 -6	-22.0	--- ---	--- ---	--- ---	--- ---	--- ---
#2012-04-16.7	1253-055	test	22.39	1.8	0.132	1.0006 63	38.3	-8.6	-2.00	157 44	12.9 -6	-18.0	-4.0 5.1	-0.2 -38.9	0.930 0.068	11.5 2.5	59.9 3.2
2012-04-16.8	1253-055	test	22.57	2.0	0.075	0.0262 99	37.7	-8.1	-2.00	161 45	12.9 -6	-15.1	-1.8 -2.3	2.9 -47.3	11.0 0.014	16.5 0.025	22.2 0.0
#2012-04-16.9	1253-055	test	22.64	1.7	0.145	0.0284 63	38.2	-8.3	-1.00	162 46	12.9 -6	-14.0	-14.0 7.3	-9.0 -37.2	1.36 0.015	9.07 0.15	33.0 0.3
2012-04-16.10	1253-055	test	22.68	1.8	0.125	0.0241 96	38.1	-8.2	0.00	163 46	12.9 -6	-13.3	-0.3 1.4	4.9 -43.3	11.1 9.7E-3	16.4 0.014	21.4 0.0
#2012-04-16.11	1253-055	test	22.74	1.6	0.150	0.0285 66	38.2	-8.2	-0.50	164 46	12.9 -6	-12.4	-9.1 6.6	-3.6 -38.2	4.00 0.040	10.1 0.13	21.9 0.2
#2012-04-16.12	1253-055	test	22.80	1.7	0.126	0.0285 73	38.2	-8.1	-0.70	165 46	12.9 -6	-11.3	-5.2 5.6	0.6 -39.4	8.53 0.031	15.6 0.055	20.4 0.1
2012-04-16.13	0953+254	test	22.94	2.0	0.171	0.0165 105	37.1	-8.0	-0.70	-100 57	9.9 25	60.3	1.8 -2.6	17.1 -68.0	0.650 2.7E-3	0.670 5.0E-3	19.1 0.1
2012-04-16.14	CWLEO	test	23.02	2.0	0.144	0.0164 105	37.3	-8.0	-0.70	-113 47	9.8 13	49.1	-0.2 2.7	15.2 -65.7	0.471 2.5E-3	0.700 5.1E-3	22.7 0.1
2012-04-16.15	0851+202	247-11	23.07	2.0	0.162	0.0165 104	37.4	-8.0	-0.70	-94 40	8.9 20	57.9	3.9 2.6	16.6 -76.4	3.67 4.3E-3	3.96 7.9E-3	19.2 0.0
# Tue Apr 17 00:09:59 UTC 2012 - Some stronger wind during the COSMOS scans while tau was continuously increasing from 0.12 to 0.3 (AK).
# Tue Apr 17 08:00:25 UTC 2012 - Wind finally improved somewhat. We'll give it a shot at project 209-11 until technical time starts. Tau rather constant at ~0.4 for an hour now (AK).
2012-04-17.3	0316+413	209-11	8.08	1.9	0.018	0.0199 72	37.2	-3.4	-2.00	56 26	3.3 42	-62.4	0.7 3.3	-6.5 -80.0	3.76 5.3E-3	5.13 9.3E-3	21.7 0.0
2012-04-17.4	0316+413	209-11	8.15	1.7	0.437	0.0224 69	38.1	-4.4	-1.00	57 27	3.3 42	-62.9	4.3 2.2	-3.1 -78.7	6.70 8.4E-3	7.11 0.014	18.8 0.0
2012-04-17.5	0316+413	209-11	8.22	2.0	0.390	0.0342 62	37.2	-4.3	0.00	57 27	3.3 42	-63.4	3.9 2.4	-3.8 -78.3	5.09 0.012	6.20 0.023	20.2 0.0
