# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)
2012-10-29.280	Uranus	gismo12	19.04	2.0	0.203	0.0391 103	37.1	-0.8	-2.00	120 36	0.3 1	-43.5	-13.5 7.4	-0.0 -69.4	15.5 0.022	17.5 0.029	19.5 0.0
2012-10-29.281	Uranus	gismo12	19.19	2.0	0.194	0.0318 103	37.0	-0.9	-2.00	122 37	0.3 1	-42.3	-18.9 8.4	-5.6 -67.8	15.3 0.027	17.9 0.025	19.8 0.0
2012-10-29.282	2255-282	gismo12	19.27	2.0	0.194	0.0362 100	37.2	-0.8	-2.00	160 22	23.0 -28	-17.3	-19.5 3.6	4.5 -72.3	2.53 7.8E-3	2.69 0.015	18.7 0.1
2012-10-29.283	2255-282	gismo12	19.32	1.8	0.194	0.0364 100	38.1	-0.7	-2.00	161 22	23.0 -28	-16.8	-19.0 -0.2	5.0 -76.2	2.55 8.3E-3	2.66 0.015	18.6 0.1
# Mon Oct 29 22:54:52 UTC 2012 - The previous scans were not stored in gismo12 directory due to permission errors.  SFM
# Tue Oct 30 10:00:11 UTC 2012 - Started cycle - EHS
# Tue Oct 30 15:47:05 UTC 2012 - ES - After pumping on the Baffle, I filled the Baffle with LN2
2012-10-31.2	Uranus	test	2.12	2.0	0.001	0.0234 104	37.1	-5.8	-2.00	-106 22	0.3 1	50.2	-22.0 -3.8	7.0 -107.4	11.4 0.014	15.5 0.016	21.2 0.0
# Wed Oct 31 02:15:45 UTC 2012 - Changed Detector Bias to 8000 - SFM
# Wed Oct 31 02:16:15 UTC 2012 - First five scans are in ~t16/GismoData/merged - SFM
2012-10-31.3	Uranus	test	2.28	1.8	0.001	0.0149 95	38.1	-5.0	-2.00	-104 20	0.3 1	50.7	-21.0 10.9	5.9 -110.7	10.0 0.011	13.7 0.014	21.5 0.0
# Wed Oct 31 02:28:51 UTC 2012 - Don't know if using dedicated GISMO pointing - SFM
2012-10-31.6	0234+285	test	2.49	1.8	0.001	0.0186 95	38.2	-4.8	-2.00	-96 60	2.6 29	65.0	-14.7 25.8	8.9 -86.6	1.45 4.0E-3	1.60 6.5E-3	19.6 0.1
2012-10-31.7	0234+285	test	2.65	1.8	0.001	0.0172 96	38.1	-4.9	-2.00	-94 59	2.6 29	65.3	-5.7 -13.6	5.0 -85.2	1.38 3.5E-3	1.60 5.9E-3	19.7 0.0
2012-10-31.8	0234+285	test	2.68	1.8	0.001	0.0146 96	38.2	-4.9	-2.50	-94 58	2.6 29	65.4	-2.7 -12.6	8.1 -84.7	1.11 3.3E-3	1.55 6.0E-3	21.6 0.1
2012-10-31.9	0234+285	test	2.72	1.8	0.001	0.0157 96	38.1	-5.1	-1.50	-94 58	2.6 29	65.4	-2.1 -14.8	8.7 -87.3	1.51 3.0E-3	1.58 5.3E-3	18.7 0.0
2012-10-31.10	0234+285	test	2.93	2.0	0.001	0.0169 96	37.4	-4.5	-1.00	-91 55	2.6 29	65.6	-6.8 -13.4	4.2 -88.2	1.48 3.4E-3	1.60 5.2E-3	18.9 0.0
2012-10-31.11	0234+285	test	2.97	1.8	0.001	0.0161 96	38.2	-4.5	-1.50	-91 55	2.6 29	65.6	-5.1 -16.8	5.9 -92.1	1.47 2.9E-3	1.59 5.3E-3	18.5 0.0
2012-10-31.12	0234+285	test	3.01	1.8	0.001	0.0138 96	38.2	-4.5	-0.50	-91 54	2.6 29	65.6	-5.3 -16.8	5.7 -92.4	1.34 3.1E-3	1.62 6.1E-3	19.9 0.0
2012-10-31.13	0234+285	test	3.05	2.0	0.001	0.0172 93	37.1	-4.3	-1.00	-90 54	2.6 29	65.6	-5.3 -17.5	5.7 -93.6	1.46 3.3E-3	1.46 4.5E-3	18.0 0.0
2012-10-31.14	0234+285	test	3.09	1.8	0.001	0.0151 95	38.2	-4.0	-1.50	-90 53	2.6 29	65.7	-5.9 -17.1	5.2 -93.5	1.49 3.2E-3	1.58 4.7E-3	18.8 0.0
2012-10-31.15	0234+285	test	3.12	1.8	0.001	0.0142 95	38.1	-3.9	-0.50	-90 53	2.6 29	65.6	-4.2 -12.6	6.9 -89.4	1.28 3.2E-3	1.58 5.2E-3	20.1 0.0
2012-10-31.16	0234+285	test	3.16	1.8	0.001	0.0151 95	38.2	-4.1	-1.00	-89 52	2.6 29	65.6	-3.9 -13.0	7.3 -90.1	1.47 2.8E-3	1.61 5.0E-3	19.0 0.0
2012-10-31.17	0234+285	test	3.21	1.8	0.001	0.0134 95	38.1	-4.3	-1.00	-89 52	2.6 29	65.6	-3.1 -13.8	8.0 -91.4	1.54 3.0E-3	1.60 4.6E-3	18.6 0.0
2012-10-31.18	0234+285	test	3.25	1.8	0.001	0.0136 95	38.2	-4.3	-1.20	-89 51	2.6 29	65.6	-3.6 -17.0	7.6 -95.0	1.51 3.0E-3	1.58 4.5E-3	18.7 0.0
2012-10-31.19	0234+285	test	3.29	2.1	0.001	0.0150 95	37.2	-3.5	-1.70	-88 51	2.6 29	65.6	-3.0 -16.4	8.2 -94.7	1.40 3.1E-3	1.56 4.7E-3	18.8 0.0
2012-10-31.21	0234+285	test	3.36	2.1	0.001	0.0187 88	37.2	-3.6	-1.20	-88 50	2.6 29	65.5	-7.3 -15.1	4.0 -94.1	1.57 3.7E-3	1.64 5.7E-3	18.5 0.0
2012-10-31.22	0234+285	test	3.40	1.8	0.001	0.0174 88	38.2	-3.5	-1.70	-87 50	2.6 29	65.5	-7.2 -15.3	4.1 -94.6	1.52 3.3E-3	1.61 5.5E-3	18.6 0.0
2012-10-31.23	0234+285	test	3.44	1.8	0.001	0.0173 88	38.1	-3.6	-0.70	-87 49	2.6 29	65.5	-6.5 -15.5	4.8 -95.2	1.42 3.4E-3	1.60 5.6E-3	19.1 0.0
# Wed Oct 31 03:31:03 UTC 2012 - Changed to use crush in ~gismo12
2012-10-31.24	0234+285	test	3.53	2.0	0.002	0.0157 88	37.7	-3.5	-1.40	-86 48	2.6 29	65.4	-8.1 17.0	7.9 -99.2	1.65 3.2E-3	1.79 5.6E-3	18.6 0.0
2012-10-31.26	0234+285	test	3.87	1.8	0.001	0.0159 88	38.1	-3.3	-1.40	-84 44	2.6 29	64.8	-10.1 -12.2	7.1 -98.8	1.59 3.5E-3	1.72 5.4E-3	18.6 0.0
2012-10-31.27	0234+285	test	4.00	1.8	0.002	0.0166 89	38.1	-3.0	-1.40	-83 42	2.6 29	64.6	0.0 -1.1	5.2 -104.6	1.63 2.9E-3	1.74 5.8E-3	18.6 0.0
2012-10-31.28	0234+285	test	4.06	1.8	0.001	0.0162 91	38.1	-3.1	-1.40	-82 42	2.6 29	64.4	0.1 -5.6	5.3 -105.4	1.59 3.0E-3	1.72 5.7E-3	18.6 0.0
2012-10-31.32	0234+285	test	5.06	1.0	0.001	0.0160 94	37.6	-1.5	-1.40	-75 30	2.6 29	61.5	-1.8 -11.4	3.3 -114.9	1.50 3.9E-3	1.66 6.8E-3	19.0 0.0
2012-10-31.33	0234+285	test	5.16	1.0	0.001	0.0178 94	35.9	-1.1	-1.40	-74 29	2.6 29	61.1	-19.3 11.5	4.8 -113.1	1.49 4.7E-3	1.66 6.7E-3	18.7 0.1
