# id	object	project	UTh(f2)	obsmins(f1)	tau.225GHz(f3)	NEFD(f4) okchannels	scanspeed(f1)	Tamb(f1)	foc.dX(f2) foc.dY(f2) foc.dZ(f2)	AZd(f0) ELd(f0)	RAh(f1) DECd(f0)	PAd(f1)	pnt.dAZ(f1) pnt.dEL(f1)	pnt.X(f1) pnt.Y(f1)	src.peak(s3) src.dpeak(s2)	src.int(s3) src.dint(s2)	src.FWHM(f1) src.dFWHM(f1)	pnt.asymX(f1) pnt.asymY(f1)
2014-03-31.181	Uranus	test	12.50	12.9	0.044	0.0773 62	3.7	-1.3	0.00 0.00 -1.50	-178 57	0.8 4	2.2	-15.6 8.3	6.5 -62.3	11.0 0.019	13.0 0.020	19.7 0.0	-4.2 -37.8
2014-03-31.182	2223-052	test	12.62	55.6	0.044	0.1374 103	0.8	-1.4	0.00 0.00 -1.50	-131 35	22.4 -5	37.1	-17.8 1.6	12.6 -93.2	0.431 5.2E-3	0.485 6.6E-3	18.6 0.2	-16.4 0.0
2014-03-31.183	2223-052	test	12.70	33.8	0.044	0.1050 103	1.4	-1.4	0.00 0.00 -2.00	-130 34	22.4 -5	37.9	-18.4 2.6	12.0 -92.7	0.468 4.6E-3	0.509 6.3E-3	18.3 0.2	-7.0 5.4
2014-03-31.185	2223-052	test	12.94	37.1	0.006	0.1068 103	1.3	-1.4	0.00 0.00 -2.00	-127 32	22.4 -5	40.0	-18.6 0.3	11.8 -96.5	0.435 3.4E-3	0.453 5.7E-3	18.2 0.1	3.5 -3.7
2014-03-31.186	2223-052	test	13.31	2.0	0.003	0.0279 95	25.4	-1.2	0.00 0.00 -2.00	-122 28	22.4 -5	42.9	-17.9 -0.7	12.6 -99.3	0.376 4.3E-3	0.349 3.9E-3	16.7 0.2	5.1 -7.5
2014-03-31.187	2200+420	test	13.52	2.1	0.014	0.0263 103	25.2	-1.1	0.00 0.00 -2.00	-64 46	22.0 42	76.8	-21.2 3.7	0.6 -108.1	2.48 0.011	2.65 8.3E-3	16.7 0.1	-0.2 -18.3
2014-03-31.188	2200+420	test	13.64	1.1	0.074	0.0240 103	25.0	-0.9	0.00 0.00 -2.00	-64 45	22.0 42	76.0	-21.2 3.5	0.8 -108.9	2.20 0.013	2.42 0.011	16.1 0.1	-1.4 -2.0
2014-03-31.189	2200+420	test	13.66	1.1	0.074	0.0258 103	24.4	-0.9	0.00 0.00 -2.60	-64 45	22.0 42	75.8	-21.1 1.4	1.0 -111.2	1.94 0.013	2.13 0.013	16.5 0.1	-4.7 1.1
2014-03-31.190	2200+420	test	13.68	1.1	0.003	0.0270 102	25.1	-0.8	0.00 0.00 -1.40	-64 45	22.0 42	75.6	-23.8 3.4	-1.8 -109.2	2.11 0.012	2.37 0.014	17.0 0.1	11.7 2.4
2014-03-31.191	2200+420	test	13.71	1.1	0.003	0.0235 103	24.8	-0.8	0.00 0.00 -3.20	-64 44	22.0 42	75.5	-20.1 1.4	1.9 -111.3	1.41 0.012	1.69 0.010	18.2 0.1	-7.4 -2.9
2014-03-31.192	2200+420	test	13.73	1.1	0.003	0.0277 103	24.9	-0.8	0.00 0.00 -0.80	-64 44	22.0 42	75.3	-24.4 3.1	-2.3 -109.7	1.60 0.015	1.87 0.014	17.6 0.2	10.0 7.9
2014-03-31.193	Uranus	test	13.86	2.1	0.023	0.0282 103	25.7	-0.7	0.00 0.00 -1.90	-143 52	0.8 4	28.7	-13.6 4.5	15.2 -80.1	8.61 0.019	12.3 0.016	21.6 0.0	4.6 -11.1
2014-03-31.194	Uranus	test	13.90	2.1	0.019	0.0269 103	25.5	-0.5	0.00 0.00 -1.90	-143 51	0.8 4	29.4	-17.3 4.9	11.6 -80.1	9.14 0.016	12.6 0.021	21.2 0.0	13.1 -19.3
# Mon Mar 31 14:00:47 UTC 2014 - bias - flux cal on Uranus
