# Time[UT]    Date          Tau         TauERR
  11:56:53    2015-02-24    0.0022      0.8826
  12:09:32    2015-02-24    0.0004      3.8731
  12:13:45    2015-02-24    0.0004      0.9198
  12:17:58    2015-02-24    0.0002      2.5600
  12:22:12    2015-02-24    0.0015      0.2444
  12:30:39    2015-02-24    0.0007      0.5653
  12:34:52    2015-02-24    0.0029      0.4619
  12:55:58    2015-02-24    0.0274      0.0430
  13:00:12    2015-02-24    0.2479      0.0335
  13:04:25    2015-02-24    0.2114      0.0183
  13:08:39    2015-02-24    0.1608      0.0898
  13:12:52    2015-02-24    0.2249      0.0680
  13:17:05    2015-02-24    0.1989      0.0764
  13:21:19    2015-02-24    0.2067      0.0318
  13:25:32    2015-02-24    0.2232      0.0720
  13:33:59    2015-02-24    0.1751      0.0662
  13:38:12    2015-02-24    0.5011      0.2206
  13:42:25    2015-02-24    0.1546      0.0334
  13:46:39    2015-02-24    0.1965      0.0219
  13:50:52    2015-02-24    0.1841      0.0140
  13:55:06    2015-02-24    0.2191      0.0752
  13:59:19    2015-02-24    0.2177      0.0341
  14:03:32    2015-02-24    0.1514      0.0316
  14:07:46    2015-02-24    0.1539      0.0521
  14:11:59    2015-02-24    0.2091      0.0556
  14:16:13    2015-02-24    0.1404      0.0661
  14:20:26    2015-02-24    0.2270      0.1404
  14:24:39    2015-02-24    0.1874      0.1305
  14:28:53    2015-02-24    0.2364      0.0896
  14:33:06    2015-02-24    0.1779      0.2581
  14:37:20    2015-02-24    0.2186      0.0438
  14:41:33    2015-02-24    0.2658      0.0207
  14:45:46    2015-02-24    0.1701      0.0290
  14:50:00    2015-02-24    0.1626      0.0279
  14:54:13    2015-02-24    0.2141      0.0193
  14:58:26    2015-02-24    0.1899      0.0184
  15:02:40    2015-02-24    0.2142      0.0309
  15:06:53    2015-02-24    0.2306      0.0204
  15:11:06    2015-02-24    0.2201      0.0269
  15:15:20    2015-02-24    0.2428      0.0238
  15:19:33    2015-02-24    0.2023      0.0235
  15:23:47    2015-02-24    0.1433      0.0406
  15:28:00    2015-02-24    0.2747      0.0692
  15:32:14    2015-02-24    0.3214      0.1225
  15:36:27    2015-02-24    0.2369      0.0164
  15:40:40    2015-02-24    0.2133      0.0204
  15:44:54    2015-02-24    0.2075      0.0186
  15:49:07    2015-02-24    0.2341      0.0175
  15:53:21    2015-02-24    0.2247      0.0211
  15:57:34    2015-02-24    0.2510      0.0313
  16:01:47    2015-02-24    0.2760      0.0233
  16:06:01    2015-02-24    0.2399      0.0239
  16:10:14    2015-02-24    0.2277      0.0150
  16:14:27    2015-02-24    0.2365      0.0239
  16:18:41    2015-02-24    0.2215      0.0084
  16:22:54    2015-02-24    0.2369      0.0215
  16:27:08    2015-02-24    0.2248      0.0130
  16:31:21    2015-02-24    0.2285      0.0244
  16:35:34    2015-02-24    0.2289      0.0195
  16:39:48    2015-02-24    0.2283      0.0146
  16:44:01    2015-02-24    0.2443      0.0210
  16:48:15    2015-02-24    0.2298      0.0180
  16:52:29    2015-02-24    0.2212      0.0258
  16:56:42    2015-02-24    0.2711      0.0324
  17:00:56    2015-02-24    0.2509      0.0196
  17:05:09    2015-02-24    0.2315      0.0133
  17:09:23    2015-02-24    0.2304      0.0201
  17:13:37    2015-02-24    0.2844      0.0304
  17:17:51    2015-02-24    0.2219      0.0182
  17:22:04    2015-02-24    0.2519      0.0228
  17:26:18    2015-02-24    0.2323      0.0193
  17:30:32    2015-02-24    0.2497      0.0347
  17:34:45    2015-02-24    0.2305      0.0180
  17:38:59    2015-02-24    0.2428      0.0327
  17:43:12    2015-02-24    0.2308      0.0203
  17:47:26    2015-02-24    0.1856      0.0119
  17:51:39    2015-02-24    0.2002      0.0122
  17:55:53    2015-02-24    0.2396      0.0121
  18:00:06    2015-02-24    0.2646      0.0218
  18:04:20    2015-02-24    0.2378      0.0135
  18:08:34    2015-02-24    0.2546      0.0165
  18:12:47    2015-02-24    0.2395      0.0145
  18:17:01    2015-02-24    0.2536      0.0161
  18:21:14    2015-02-24    0.2445      0.0156
  18:25:28    2015-02-24    0.2331      0.0114
  18:29:42    2015-02-24    0.2553      0.0204
  18:33:55    2015-02-24    0.2513      0.0162
  18:38:09    2015-02-24    0.2386      0.0148
  18:42:22    2015-02-24    0.2675      0.0130
  18:46:36    2015-02-24    0.2415      0.0144
  18:50:50    2015-02-24    0.2267      0.0149
