# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 211.23036 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.000 	8.598E-3 	gn	-163.936	1.000	1.000	0	0	0	0
R0[0,1]	0.641 	4.811E-4 	-	2.707	1.000	1.000	1	0	0	1
R0[0,2]	0.123 	5.233E-3 	g	2.765	1.000	1.000	2	0	0	2
R0[0,3]	1.037 	3.222E-4 	-	1.865	1.000	1.000	3	0	0	3
R0[0,4]	-0.000 	7.188E-3 	gn	1720.647	1.000	1.000	4	0	0	4
R0[0,5]	-0.000 	8.136E-3 	gn	5140.138	1.000	1.000	5	0	0	5
R0[0,7]	0.633 	5.154E-4 	-	2.737	1.000	1.000	7	0	0	7
R0[0,8]	0.649 	5.393E-4 	-	2.668	1.000	1.000	8	0	0	8
R0[0,9]	0.835 	4.156E-4 	-	2.296	1.000	1.000	9	0	0	9
R0[0,10]	0.000 	8.602E-3 	gn	-6630.920	1.000	1.000	10	0	0	10
R0[0,11]	0.776 	4.854E-4 	-	2.373	1.000	1.000	11	0	0	11
R0[0,12]	0.722 	5.151E-4 	-	2.442	1.000	1.000	12	0	0	12
R0[0,13]	0.724 	5.058E-4 	-	2.453	1.000	1.000	13	0	0	13
R0[0,14]	-0.000 	8.753E-3 	gn	190.515	1.000	1.000	14	0	0	14
