# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_80-047
# Object: omc1_c
# Date: 2016-12-03T07:43:50.590 (MJD: 57725.32291405092)
# Project: 88_0005_80
# Exposure: 83.89583999999999 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 130d08m04.31s 37d14m20.20s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.000 	5.454E-3 	gn	12.092	1.000	1.000	0	0	0	0
R0[0,1]	0.617 	6.995E-4 	-	3.288	1.000	1.000	1	0	0	1
R0[0,2]	0.061 	4.780E-3 	g	3.471	1.000	1.000	2	0	0	2
R0[0,3]	1.001 	4.346E-4 	-	2.358	1.000	1.000	3	0	0	3
R0[0,4]	0.001 	4.774E-3 	gn	-10.763	1.000	1.000	4	0	0	4
R0[0,5]	0.001 	5.345E-3 	gn	-16.390	1.000	1.000	5	0	0	5
R0[0,7]	0.603 	5.680E-4 	-	3.009	1.000	1.000	7	0	0	7
R0[0,8]	0.647 	5.568E-4 	-	2.983	1.000	1.000	8	0	0	8
R0[0,9]	0.813 	4.832E-4 	-	2.466	1.000	1.000	9	0	0	9
R0[0,10]	0.000 	5.555E-3 	gn	-8.629	1.000	1.000	10	0	0	10
R0[0,11]	0.734 	6.334E-4 	-	2.753	1.000	1.000	11	0	0	11
R0[0,12]	0.689 	5.647E-4 	-	2.745	1.000	1.000	12	0	0	12
R0[0,13]	0.704 	5.969E-4 	-	2.661	1.000	1.000	13	0	0	13
R0[0,14]	0.001 	4.827E-3 	gn	-6.462	1.000	1.000	14	0	0	14
R0[0,15]	0.891 	4.825E-4 	-	2.348	1.000	1.000	15	0	0	15
R0[0,16]	1.016 	5.471E-5 	-	1.792	1.000	1.000	16	0	0	16
R0[0,17]	0.898 	3.241E-4 	-	2.436	1.000	1.000	17	0	0	17
R0[0,18]	1.004 	5.103E-4 	-	1.963	1.000	1.000	18	0	0	18
R0[0,19]	0.764 	4.634E-4 	-	2.479	1.000	1.000	19	0	0	19
R0[0,21]	1.151 	4.739E-4 	-	1.851	1.000	1.000	21	0	0	21
R0[0,22]	0.001 	3.803E-3 	gn	-6.041	1.000	1.000	22	0	0	22
R0[0,23]	0.832 	5.345E-4 	-	2.371	1.000	1.000	23	0	0	23
R0[0,24]	0.429 	2.040E-7 	n	-29.541	1.000	1.000	24	0	0	24
R0[0,25]	0.906 	5.581E-4 	-	2.180	1.000	1.000	25	0	0	25
R0[0,26]	0.001 	3.308E-3 	gn	3.424	1.000	1.000	26	0	0	26
R0[1,0]	0.686 	6.801E-4 	-	3.140	1.000	1.000	32	0	1	0
R0[1,1]	0.372 	1.776E-3 	-	3.487	1.000	1.000	33	0	1	1
R0[1,2]	0.374 	1.525E-3 	-	3.427	1.000	1.000	34	0	1	2
R0[1,3]	0.599 	7.951E-4 	-	3.117	1.000	1.000	35	0	1	3
R0[1,4]	0.716 	6.097E-4 	-	2.794	1.000	1.000	36	0	1	4
