# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_81-054
# Object: omc1_c
# Date: 2016-12-03T08:02:22.570 (MJD: 57725.33578418981)
# Project: 88_0005_81
# Exposure: 38.63184 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 131d47m40.32s 39d58m09.99s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.002 	6.232E-3 	gn	-0.592	1.000	1.000	0	0	0	0
R0[0,1]	0.769 	1.022E-3 	-	0.116	1.000	1.000	1	0	0	1
R0[0,2]	0.502 	2.297E-3 	-	0.286	1.000	1.000	2	0	0	2
R0[0,3]	0.000 	7.725E-3 	gn	-23.228	1.000	1.000	3	0	0	3
R0[0,4]	0.001 	7.608E-3 	gn	3.229	1.000	1.000	4	0	0	4
R0[0,5]	0.001 	8.387E-3 	gn	8.242	1.000	1.000	5	0	0	5
R0[0,7]	0.671 	1.286E-3 	-	0.689	1.000	1.000	7	0	0	7
R0[0,8]	0.698 	1.562E-3 	-	0.711	1.000	1.000	8	0	0	8
R0[0,9]	0.880 	1.070E-3 	-	0.660	1.000	1.000	9	0	0	9
R0[0,10]	0.000 	6.049E-3 	gn	-4.705	1.000	1.000	10	0	0	10
R0[0,11]	0.784 	7.067E-4 	-	0.861	1.000	1.000	11	0	0	11
R0[0,12]	0.740 	1.100E-3 	-	0.899	1.000	1.000	12	0	0	12
R0[0,13]	0.714 	9.404E-4 	-	0.932	1.000	1.000	13	0	0	13
R0[0,14]	0.001 	6.302E-3 	gn	5.689	1.000	1.000	14	0	0	14
R0[0,15]	0.902 	8.588E-4 	-	0.784	1.000	1.000	15	0	0	15
R0[0,16]	0.882 	9.778E-4 	-	0.749	1.000	1.000	16	0	0	16
R0[0,17]	0.917 	3.130E-4 	-	0.723	1.000	1.000	17	0	0	17
R0[0,18]	1.035 	5.921E-4 	-	0.618	1.000	1.000	18	0	0	18
R0[0,19]	0.792 	8.048E-4 	-	0.766	1.000	1.000	19	0	0	19
R0[0,21]	1.189 	6.301E-4 	-	0.607	1.000	1.000	21	0	0	21
R0[0,22]	-0.000 	5.061E-3 	gn	42.136	1.000	1.000	22	0	0	22
R0[0,23]	0.818 	9.041E-4 	-	0.797	1.000	1.000	23	0	0	23
R0[0,24]	0.204 	5.999E-6 	Bgn	-0.018	1.000	1.000	24	0	0	24
R0[0,25]	0.923 	8.923E-4 	-	0.708	1.000	1.000	25	0	0	25
R0[0,26]	0.000 	4.401E-3 	gn	-30.885	1.000	1.000	26	0	0	26
R0[1,0]	0.841 	1.253E-3 	-	0.150	1.000	1.000	32	0	1	0
R0[1,1]	0.699 	1.383E-3 	-	0.323	1.000	1.000	33	0	1	1
R0[1,2]	0.682 	1.453E-3 	-	0.440	1.000	1.000	34	0	1	2
R0[1,3]	0.717 	1.190E-3 	-	0.517	1.000	1.000	35	0	1	3
R0[1,4]	0.827 	9.663E-4 	-	0.484	1.000	1.000	36	0	1	4
R0[1,5]	0.901 	9.997E-4 	-	0.554	1.000	1.000	37	0	1	5
R0[1,7]	0.795 	1.169E-3 	-	0.726	1.000	1.000	39	0	1	7
R0[1,8]	0.802 	1.232E-3 	-	0.734	1.000	1.000	40	0	1	8
R0[1,9]	0.937 	1.153E-3 	-	0.726	1.000	1.000	41	0	1	9
R0[1,10]	1.006 	8.201E-4 	-	0.699	1.000	1.000	42	0	1	10
R0[1,11]	0.884 	7.587E-4 	-	0.822	1.000	1.000	43	0	1	11
R0[1,12]	0.836 	9.869E-4 	-	0.850	1.000	1.000	44	0	1	12
R0[1,13]	0.849 	9.668E-4 	-	0.842	1.000	1.000	45	0	1	13
R0[1,14]	0.918 	8.195E-4 	-	0.770	1.000	1.000	46	0	1	14
R0[1,15]	1.014 	5.241E-4 	-	0.671	1.000	1.000	47	0	1	15
R0[1,16]	1.001 	9.134E-4 	-	0.653	1.000	1.000	48	0	1	16
R0[1,17]	0.949 	9.897E-4 	-	0.662	1.000	1.000	49	0	1	17
R0[1,18]	0.932 	1.044E-3 	-	0.698	1.000	1.000	50	0	1	18
R0[1,19]	0.909 	7.532E-4 	-	0.686	1.000	1.000	51	0	1	19
R0[1,21]	1.107 	5.931E-4 	-	0.622	1.000	1.000	53	0	1	21
R0[1,22]	1.034 	7.015E-4 	-	0.645	1.000	1.000	54	0	1	22
R0[1,23]	0.927 	6.485E-4 	-	0.685	1.000	1.000	55	0	1	23
R0[1,24]	0.000 	5.015E-3 	gn	-14.060	1.000	1.000	56	0	1	24
R0[1,25]	1.015 	6.539E-4 	-	0.648	1.000	1.000	57	0	1	25
R0[1,26]	1.105 	5.649E-4 	-	0.623	1.000	1.000	58	0	1	26
R0[2,0]	0.002 	5.862E-3 	gn	0.472	1.000	1.000	64	0	2	0
R0[2,1]	0.002 	6.699E-3 	gn	-0.674	1.000	1.000	65	0	2	1
R0[2,2]	0.001 	7.296E-3 	gn	-6.758	1.000	1.000	66	0	2	2
R0[2,3]	0.001 	9.335E-3 	gn	-6.244	1.000	1.000	67	0	2	3
R0[2,4]	0.001 	7.890E-3 	gn	8.126	1.000	1.000	68	0	2	4
R0[2,5]	0.001 	8.494E-3 	gn	11.074	1.000	1.000	69	0	2	5
R0[2,7]	0.001 	7.980E-3 	gn	5.684	1.000	1.000	71	0	2	7
R0[2,8]	0.001 	8.322E-3 	gn	-4.022	1.000	1.000	72	0	2	8
R0[2,9]	0.001 	7.153E-3 	gn	-9.007	1.000	1.000	73	0	2	9
R0[2,10]	0.001 	8.893E-3 	gn	-5.022	1.000	1.000	74	0	2	10
R0[2,11]	0.002 	1.068E-2 	gn	-4.229	1.000	1.000	75	0	2	11
R0[2,12]	0.002 	9.397E-3 	gn	-1.398	1.000	1.000	76	0	2	12
R0[2,13]	0.003 	1.110E-2 	gn	-1.118	1.000	1.000	77	0	2	13
R0[2,14]	0.003 	1.209E-2 	gn	10.532	1.000	1.000	78	0	2	14
R0[2,15]	0.002 	9.014E-3 	gn	12.661	1.000	1.000	79	0	2	15
R0[2,16]	0.003 	9.965E-3 	gn	0.217	1.000	1.000	80	0	2	16
R0[2,17]	0.002 	1.012E-2 	gn	0.606	1.000	1.000	81	0	2	17
R0[2,18]	0.002 	7.879E-3 	gn	-3.694	1.000	1.000	82	0	2	18
R0[2,19]	0.003 	9.071E-3 	gn	-2.795	1.000	1.000	83	0	2	19
