# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_82-062
# Object: omc1_c
# Date: 2016-12-03T08:21:01.970 (MJD: 57725.348740208334)
# Project: 88_0005_82
# Exposure: 29.667599999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 133d29m39.79s 42d43m03.84s
# CRUSH version: 2.34-1
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[0,0]	0.001 	8.251E-3 	gn	-25.623	1.000	1.000	0	0	0	0
R0[0,1]	0.719 	5.084E-3 	-	0.285	1.000	1.000	1	0	0	1
R0[0,2]	0.151 	7.710E-3 	g	0.270	1.000	1.000	2	0	0	2
R0[0,3]	1.064 	1.009E-3 	-	0.327	1.000	1.000	3	0	0	3
R0[0,4]	0.001 	5.096E-3 	gn	-29.038	1.000	1.000	4	0	0	4
R0[0,5]	0.001 	6.247E-3 	gn	-68.046	1.000	1.000	5	0	0	5
R0[0,7]	0.680 	3.306E-3 	-	0.890	1.000	1.000	7	0	0	7
R0[0,8]	0.704 	3.318E-3 	-	1.101	1.000	1.000	8	0	0	8
R0[0,9]	0.874 	2.601E-3 	-	1.182	1.000	1.000	9	0	0	9
R0[0,10]	0.000 	2.025E-2 	gn	-451.387	1.000	1.000	10	0	0	10
R0[0,11]	0.824 	3.424E-3 	-	1.601	1.000	1.000	11	0	0	11
R0[0,12]	0.769 	2.700E-3 	-	1.667	1.000	1.000	12	0	0	12
R0[0,13]	0.763 	2.963E-3 	-	1.879	1.000	1.000	13	0	0	13
R0[0,14]	0.000 	1.176E-2 	gn	-87.972	1.000	1.000	14	0	0	14
R0[0,15]	0.947 	2.175E-3 	-	1.646	1.000	1.000	15	0	0	15
R0[0,16]	0.917 	2.710E-3 	-	1.739	1.000	1.000	16	0	0	16
R0[0,17]	0.954 	1.211E-3 	-	1.803	1.000	1.000	17	0	0	17
R0[0,18]	1.048 	1.607E-3 	-	1.591	1.000	1.000	18	0	0	18
R0[0,19]	0.857 	2.426E-3 	-	1.864	1.000	1.000	19	0	0	19
R0[0,21]	1.188 	1.845E-3 	-	1.481	1.000	1.000	21	0	0	21
R0[0,22]	-0.000 	1.238E-2 	gn	23.773	1.000	1.000	22	0	0	22
R0[0,23]	0.846 	2.946E-3 	-	1.821	1.000	1.000	23	0	0	23
R0[0,24]	0.779 	3.781E-6 	n	-25.833	1.000	1.000	24	0	0	24
R0[0,25]	0.926 	1.403E-3 	-	1.782	1.000	1.000	25	0	0	25
R0[0,26]	-0.001 	8.587E-3 	gn	1.729	1.000	1.000	26	0	0	26
R0[1,0]	0.780 	4.003E-3 	-	0.322	1.000	1.000	32	0	1	0
R0[1,1]	0.656 	4.033E-3 	-	0.327	1.000	1.000	33	0	1	1
R0[1,2]	0.622 	4.633E-3 	-	0.312	1.000	1.000	34	0	1	2
R0[1,3]	0.651 	4.372E-3 	-	0.324	1.000	1.000	35	0	1	3
R0[1,4]	0.771 	3.607E-3 	-	0.409	1.000	1.000	36	0	1	4
R0[1,5]	0.865 	2.891E-3 	-	0.573	1.000	1.000	37	0	1	5
R0[1,7]	0.776 	2.185E-3 	-	1.061	1.000	1.000	39	0	1	7
R0[1,8]	0.808 	2.994E-3 	-	1.265	1.000	1.000	40	0	1	8
R0[1,9]	0.932 	2.725E-3 	-	1.343	1.000	1.000	41	0	1	9
R0[1,10]	1.008 	1.104E-3 	-	1.463	1.000	1.000	42	0	1	10
R0[1,11]	0.874 	2.479E-3 	-	1.677	1.000	1.000	43	0	1	11
R0[1,12]	0.877 	3.139E-3 	-	1.688	1.000	1.000	44	0	1	12
R0[1,13]	0.893 	3.025E-3 	-	1.755	1.000	1.000	45	0	1	13
R0[1,14]	0.960 	2.518E-3 	-	1.719	1.000	1.000	46	0	1	14
R0[1,15]	1.036 	2.021E-3 	-	1.687	1.000	1.000	47	0	1	15
R0[1,16]	1.062 	8.067E-4 	-	1.713	1.000	1.000	48	0	1	16
R0[1,17]	0.974 	2.121E-3 	-	1.762	1.000	1.000	49	0	1	17
R0[1,18]	1.001 	2.545E-3 	-	1.822	1.000	1.000	50	0	1	18
R0[1,19]	0.938 	2.439E-3 	-	1.799	1.000	1.000	51	0	1	19
R0[1,21]	1.113 	1.975E-3 	-	1.656	1.000	1.000	53	0	1	21
R0[1,22]	1.046 	1.894E-3 	-	1.881	1.000	1.000	54	0	1	22
R0[1,23]	0.979 	2.218E-3 	-	1.675	1.000	1.000	55	0	1	23
R0[1,24]	-0.001 	9.605E-3 	gn	9.297	1.000	1.000	56	0	1	24
R0[1,25]	1.032 	2.343E-3 	-	1.674	1.000	1.000	57	0	1	25
R0[1,26]	1.105 	1.312E-3 	-	1.588	1.000	1.000	58	0	1	26
R0[2,0]	0.001 	5.976E-3 	gn	-20.112	1.000	1.000	64	0	2	0
R0[2,1]	0.000 	5.885E-3 	gn	-36.203	1.000	1.000	65	0	2	1
R0[2,2]	0.001 	5.937E-3 	gn	-30.755	1.000	1.000	66	0	2	2
R0[2,3]	0.001 	6.529E-3 	gn	-37.371	1.000	1.000	67	0	2	3
R0[2,4]	0.001 	5.520E-3 	gn	-34.850	1.000	1.000	68	0	2	4
R0[2,5]	0.001 	8.396E-3 	gn	-53.846	1.000	1.000	69	0	2	5
R0[2,7]	0.000 	1.035E-2 	gn	-179.075	1.000	1.000	71	0	2	7
R0[2,8]	0.000 	2.082E-2 	gn	-525.694	1.000	1.000	72	0	2	8
R0[2,9]	0.000 	2.119E-2 	gn	-381.309	1.000	1.000	73	0	2	9
R0[2,10]	-0.000 	2.501E-2 	gn	300.172	1.000	1.000	74	0	2	10
