JCMT-183-GHz 2014-09-02
20:00:00.0 0.4628
19:59:59.0 0.4632
19:59:57.0 0.4638
19:59:56.0 0.4645
19:59:54.0 0.4385
19:59:53.0 0.4384
19:59:51.0 0.4382
19:59:49.0 0.4381
19:59:48.0 0.4087
19:59:46.0 0.4086
19:59:44.0 0.4084
19:59:38.0 0.3774
19:59:36.0 0.3462
19:59:35.0 0.3463
19:59:33.0 0.3465
19:59:32.0 0.3468
19:59:30.0 0.3151
19:59:29.0 0.3150
19:59:27.0 0.3148
19:59:26.0 0.3146
19:59:24.0 0.2858
19:59:23.0 0.2859
19:59:21.0 0.2860
19:59:20.0 0.2862
19:59:18.0 0.2665
19:59:17.0 0.2666
19:59:15.0 0.2667
19:59:14.0 0.2669
19:59:12.0 0.2584
19:59:11.0 0.2584
19:59:09.0 0.2585
19:59:08.0 0.2586
19:59:06.0 0.2570
19:59:05.0 0.2568
19:59:03.0 0.2566
19:59:02.0 0.2563
19:59:00.0 0.2569
19:58:59.0 0.2571
19:58:57.0 0.2574
19:58:56.0 0.2576
19:58:54.0 0.2580
19:58:53.0 0.2580
19:58:51.0 0.2580
19:58:50.0 0.2579
19:58:48.0 0.2594
19:58:47.0 0.2594
19:58:45.0 0.2595
19:58:44.0 0.2596
19:58:42.0 0.2590
19:58:41.0 0.2589
19:58:39.0 0.2589
19:58:38.0 0.2588
19:58:36.0 0.2589
19:58:35.0 0.2589
19:58:33.0 0.2589
19:58:32.0 0.2589
19:58:30.0 0.2586
19:58:29.0 0.2585
19:58:27.0 0.2586
19:58:26.0 0.2587
19:58:24.0 0.2571
19:58:23.0 0.2572
19:58:21.0 0.2573
19:58:20.0 0.2573
19:58:18.0 0.2520
19:58:17.0 0.2516
19:58:15.0 0.2511
19:58:14.0 0.2504
19:58:12.0 0.2326
19:58:11.0 0.2327
19:58:09.0 0.2328
19:58:07.0 0.2329
19:58:06.0 0.2126
19:58:04.0 0.2124
19:58:02.0 0.2122
19:58:01.0 0.1354
19:57:59.0 0.1354
19:57:57.0 0.1355
19:57:56.0 0.1357
19:57:54.0 0.0952
19:57:53.0 0.0948
19:57:51.0 0.0942
19:57:50.0 0.0933
19:57:48.0 0.0945
19:57:47.0 0.0947
19:57:45.0 0.0951
19:57:44.0 0.0958
19:57:42.0 0.0945
19:57:41.0 0.0945
19:57:39.0 0.0947
19:57:38.0 0.0951
19:57:36.0 0.0935
19:57:35.0 0.0936
19:57:33.0 0.0939
19:57:32.0 0.0944
19:57:30.0 0.0942
19:57:29.0 0.0942
19:57:27.0 0.0943
19:57:25.0 0.0944
19:57:23.0 0.0933
19:57:21.0 0.0927
19:57:20.0 0.0917
19:57:18.0 0.0925
19:57:17.0 0.0923
19:57:15.0 0.0921
19:57:14.0 0.0916
19:57:12.0 0.0943
19:57:11.0 0.0945
19:57:09.0 0.0949
19:57:08.0 0.0954
19:57:06.0 0.0940
19:57:05.0 0.0940
19:57:03.0 0.0942
19:57:02.0 0.0944
19:57:00.0 0.0943
19:56:59.0 0.0945
19:56:57.0 0.0949
19:56:56.0 0.0957
19:56:54.0 0.0947
19:56:53.0 0.0948
19:56:51.0 0.0948
19:56:50.0 0.0949
19:56:48.0 0.0959
19:56:47.0 0.0956
19:56:45.0 0.0951
19:56:44.0 0.0943
19:56:42.0 0.0946
19:56:41.0 0.0948
19:56:39.0 0.0950
19:56:38.0 0.0954
19:56:36.0 0.0970
19:56:35.0 0.0973
19:56:33.0 0.0978
19:56:32.0 0.0985
19:56:30.0 0.0972
19:56:29.0 0.0971
19:56:27.0 0.0968
19:56:26.0 0.0964
19:56:24.0 0.0965
19:56:23.0 0.0965
19:56:21.0 0.0966
19:56:19.0 0.0966
