60278654.098511 9.731842 10.300814  3.459822e-06 0.040254 2
60889482.498169 9.608028 8.112247  5.252801e-06 13.674601 3
61336159.706116 9.910677 6.018025  3.900924e-06 0.044822 4
62022805.213928 10.021664 4.084137  3.944516e-06 1.005622 5
62966465.950012 10.193172 -0.267859  3.934623e-06 0.876346 6
63257217.407227 10.221008 -2.332779  3.827280e-06 0.405387 7
63644289.970398 10.317942 -4.405230  3.965395e-06 0.029666 8
63788890.838623 10.399843 -6.615568  3.750522e-06 0.773064 9
64007163.047791 10.334557 -8.565589  3.696199e-06 0.954710 10
65174818.038940 5.984585 10.249531  4.187526e-06 0.121845 12
65784573.554993 5.981180 8.222960  4.513140e-06 0.089958 13
67030668.258667 6.105460 4.085928  4.197480e-06 0.667155 16
67109107.971191 -1.173723 4.030015  4.415514e-06 1.080128 17
68173289.299011 -1.071312 -0.314450  4.126447e-06 1.021390 21
68795561.790466 -1.074717 -2.341021  4.194613e-06 1.038777 22
68972110.748291 6.379380 -4.610533  4.227338e-06 0.502407 23
69089412.689209 6.361432 -6.775328  4.120386e-06 0.661742 24
69359898.567200 6.412582 -8.947656  4.092905e-06 1.795227 26
70068717.002869 -4.623014 8.140349  5.294901e-06 0.554185 28
71267962.455750 2.523829 5.938785  4.541658e-06 0.111580 31
71854591.369629 2.496510 4.019771  4.668613e-06 0.218264 33
72719812.393188 -4.659753 -2.514734  4.583913e-06 0.411591 35
72854757.308960 -4.742144 -0.304058  4.300813e-06 0.308977 36
73180556.297302 0.624894 11.490064  4.900134e-06 0.100378 38
74094414.710999 -4.591989 -8.847420  4.244672e-06 0.151426 43
74130058.288574 0.561163 9.225392  4.659526e-06 0.194754 44
74362039.566040 2.691200 -6.765085  4.166078e-06 0.294296 45
74653387.069702 2.742350 -8.937412  4.089250e-06 0.180589 46
74790120.124817 -8.297252 6.124171  4.691223e-06 0.242348 47
74920415.878296 0.574457 7.022247  4.618758e-06 0.082691 48
75618147.850037 -8.362538 4.174150  4.398653e-06 0.157303 49
75631737.709045 0.709357 4.980803  4.434359e-06 0.113164 50
75681567.192078 4.166193 11.248912  4.170150e-06 0.729046 51
76661229.133606 4.224669 9.145792  4.379312e-06 0.711531 54
76858401.298523 -9.599027 9.374610  3.860561e-06 0.212229 55
76932072.639465 -8.412976 -0.293665  4.402989e-06 0.031488 56
76962113.380432 0.688004 0.789437  4.182302e-06 0.253399 57
77336549.758911 4.214538 7.049866  4.301397e-06 0.957451 58
77529311.180115 -8.246835 -2.373459  4.233610e-06 0.630965 59
77638387.680054 7.691392 11.184186  3.660662e-06 1.900463 60
77658057.212830 0.746481 -1.313683  4.211358e-06 0.366985 61
77782750.129700 -8.188358 -4.476578  4.359923e-06 0.568184 62
77823996.543884 -9.800465 7.124663  4.175798e-06 1.307904 63
78067898.750305 4.151297 4.784856  4.963715e-06 5.917318 64
78490495.681763 7.642804 9.057591  3.835032e-06 0.809546 67
78638792.037964 0.818251 -5.619947  4.230325e-06 1.082322 68
78712582.588196 -9.911535 5.074766  4.289854e-06 0.209812 69
78744411.468506 4.314902 3.020390  4.583787e-06 0.684264 70
78994512.557983 0.931283 -7.868823  4.212844e-06 0.071663 71
79453706.741333 -6.376719 11.089901  4.147914e-06 1.709820 73
79465746.879578 -10.022006 3.024721  4.553420e-06 1.243968 74
79549312.591553 4.320869 0.748038  4.137490e-06 0.220521 75
80144762.992859 4.424530 -1.255057  4.076615e-06 0.110640 76
80160617.828369 7.812266 5.020583  4.151095e-06 0.214823 77
80547094.345093 -6.488746 9.354505  4.840327e-06 0.226906 78
80820441.246033 4.406582 -3.419853  4.052337e-06 0.183535 79
80905437.469482 7.916526 3.017339  4.096159e-06 0.078963 80
81037044.525146 -9.928967 -1.073962  4.235118e-06 2.487802 81
81185936.927795 4.450516 -5.661198  4.239793e-06 0.294374 82
81565856.933594 4.570875 -7.840867  3.955910e-06 0.443661 84
81737279.891968 7.991102 0.737794  4.221412e-06 0.415427 85
82261323.928833 8.018937 -1.327125  4.082497e-06 0.184941 87
82675576.210022 -2.998598 11.285682  4.562784e-06 0.087176 90
82933068.275452 8.046173 -3.391896  4.189087e-06 0.703623 91
83217620.849609 8.059466 -5.595040  4.270315e-06 0.399800 92
83232879.638672 -6.404283 2.845245  4.448256e-06 0.013873 93
83638191.223145 8.072160 -7.798037  3.988329e-06 1.117829 94
83744049.072266 -3.002003 9.259110  4.815698e-06 0.049093 95
84079027.175903 -6.422231 0.680450  4.282505e-06 0.000087 96
84698438.644409 -2.988711 7.055966  4.475578e-06 0.293145 97
84814071.655273 -6.456277 -1.307920  4.001675e-06 0.443847 98
85272431.373596 -6.512192 -3.503723  4.197305e-06 0.644906 99
85654497.146606 -2.899593 4.914646  4.278491e-06 0.051922 100
86099386.215210 -6.471663 -7.771638  4.094519e-06 0.362598 101
86581230.163574 -2.871757 2.849727  4.437241e-06 0.209424 102
87374806.404114 -2.827823 0.608382  4.183041e-06 0.211770 103
89219331.741333 -2.835993 -5.786318  4.472451e-06 0.925568 105
89929699.897766 -2.770190 -7.820230  3.989671e-06 0.039794 106
