# SHARC2 Non-linearity Coefficients 
#
# row	col	G(eps=0)	I0(Vb=1V)	T0 (K))
# ----- ------- --------------  --------------- ----------
1	3	1.085650	9.0238E-3	581.614441
1	5	1.091841	9.2232E-3	589.745178
1	6	1.108343	9.2995E-3	591.321533
1	7	1.101122	9.4329E-3	608.757385
1	8	1.054201	9.8090E-3	631.141174
1	9	1.069515	9.8427E-3	652.086060
1	10	1.063968	9.8396E-3	652.956238
1	11	1.059244	9.7566E-3	662.050171
1	12	1.041463	9.7211E-3	670.595703
1	13	1.045029	9.6791E-3	665.960205
1	14	1.044106	9.7294E-3	670.595398
1	15	1.046436	9.6453E-3	650.996826
1	16	1.058410	9.5935E-3	637.203857
1	17	1.056105	9.6213E-3	642.394958
1	18	1.042222	9.5765E-3	642.253357
1	19	1.038411	9.3753E-3	640.985962
1	20	1.015306	9.2801E-3	626.819397
1	21	1.007455	9.1355E-3	640.612061
1	22	1.054038	8.9355E-3	586.267639
1	23	1.038411	8.8099E-3	585.663391
1	24	1.006990	8.6506E-3	577.579346
1	25	0.982749	8.5278E-3	584.582153
1	26	0.957466	8.3198E-3	580.087280
1	27	0.964082	8.3188E-3	585.921265
1	28	0.956609	8.2913E-3	583.934265
1	29	0.935746	8.1684E-3	569.574341
1	30	0.936033	7.9671E-3	570.279663
1	31	0.891658	8.1905E-3	594.291138
2	1	0.883351	7.1770E-3	543.059143
2	2	0.934616	7.6618E-3	547.602356
2	3	0.933959	7.8900E-3	570.756348
2	4	0.939731	8.2542E-3	602.388916
2	5	0.960126	8.3233E-3	592.251648
2	6	1.012287	7.5273E-3	506.481689
2	7	1.009196	8.5175E-3	586.042236
2	8	1.019865	8.6709E-3	592.761719
2	9	1.035579	8.8001E-3	594.627563
2	10	1.030543	9.1753E-3	629.737122
2	11	1.034710	9.4663E-3	644.950378
2	12	1.027500	9.4865E-3	657.660278
2	13	1.046768	9.6020E-3	673.102417
2	14	1.144311	1.0446E-2	557.047302
2	15	1.097627	8.2103E-3	584.561157
2	16	1.073165	9.9329E-3	681.764160
2	17	1.097497	1.0197E-2	657.324951
2	18	1.090722	1.0151E-2	678.024902
2	19	1.093179	1.0165E-2	680.682739
2	20	1.106116	1.0135E-2	667.921814
2	21	1.099608	1.0085E-2	669.106873
2	22	1.113673	1.0069E-2	659.834473
2	23	1.099839	9.9497E-3	658.897705
2	24	1.107406	9.6522E-3	626.549805
2	25	1.102646	9.7180E-3	625.539673
2	26	1.084084	9.8303E-3	649.545837
2	28	1.001922	9.4156E-3	672.154602
2	29	1.022429	8.9889E-3	619.595703
2	30	1.003101	8.9310E-3	626.524414
2	31	0.734568	7.9061E-3	739.147034
2	32	0.700395	1.0056E-2	1054.633789
3	1	1.178849	9.3264E-3	554.232910
3	2	1.145473	9.4159E-3	577.311768
3	3	1.196362	1.0551E-2	641.158630
3	4	1.209774	1.0901E-2	659.986084
3	6	1.196045	1.0834E-2	660.102661
3	7	1.205636	1.1432E-2	700.498108
3	8	1.202810	1.1173E-2	679.768311
3	9	1.199732	1.0933E-2	670.603943
3	10	1.210572	1.1383E-2	699.958435
3	11	1.193858	1.1467E-2	713.824585
3	12	1.205150	1.1732E-2	725.108276
3	13	1.320821	1.0449E-2	582.230286
3	14	1.208691	1.1830E-2	738.215271
3	15	1.219143	1.1666E-2	716.918274
3	16	1.220806	1.1644E-2	713.814392
3	17	1.207576	1.1717E-2	692.775024
3	18	1.202435	1.1548E-2	716.329468
3	19	1.181643	1.1545E-2	730.263245
3	20	1.243594	1.0047E-2	582.116272
3	21	1.154559	1.1232E-2	718.130920
